epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7355,1.08846,3.24987,1.33111,1.10467,0.71211,0.83533,0.85194,0.55521,4e-05,0.00055,0,0,1.11288,72.3423,1.30948,1.00511,0.0674364,0.000163636,0.000163636
2,62.9692,0.98622,2.76179,0.65708,1.02279,0.83316,0.82601,0.88356,0.60448,0.60473,0.58472,0.56866,0.2081,1.02837,4.38671,0.90608,0.99441,0.0342697,0.000330283,0.000330283
3,93.4897,0.98099,2.68336,0.6636,1.02621,0.70491,0.85744,0.82307,0.55379,0.62455,0.75759,0.66813,0.24945,1.0687,3.24649,0.93837,0.95349,0.00110291,0.000496848,0.000496848
4,119.696,0.96007,2.61384,0.64758,1.00613,0.8418,0.87312,0.91547,0.61737,0.7824,0.8122,0.81677,0.35065,1.05352,2.81795,0.70417,0.9928,0.000499725,0.000499725,0.000499725
5,149.564,0.94128,2.60104,0.62309,0.99873,0.83559,0.90376,0.93349,0.63335,0.79001,0.84457,0.86656,0.37099,1.03677,2.84496,0.73222,0.95013,0.000499512,0.000499512,0.000499512
6,180.177,0.94765,2.55102,0.61469,1.0017,0.71311,0.8152,0.84397,0.579,0.6847,0.70805,0.73257,0.31007,1.08446,3.04203,0.84143,0.96799,0.000499237,0.000499237,0.000499237
7,206.399,0.89831,2.51451,0.5945,0.98199,0.89294,0.9045,0.94521,0.66814,0.83672,0.84823,0.86522,0.38147,0.94612,2.78776,0.69021,0.91232,0.000498902,0.000498902,0.000498902
8,237.093,0.90157,2.52649,0.57748,0.98468,0.84721,0.89481,0.92982,0.65659,0.78607,0.83678,0.85041,0.37711,0.95544,2.71559,0.6433,0.9237,0.000498505,0.000498505,0.000498505
9,263.493,0.89296,2.45997,0.56961,0.98124,0.87978,0.90549,0.94266,0.6729,0.83464,0.86084,0.87463,0.40737,0.94416,2.66808,0.66625,0.90989,0.000498048,0.000498048,0.000498048
10,295.098,0.89131,2.44588,0.57379,0.97914,0.91509,0.9249,0.95191,0.67562,0.84759,0.85529,0.85952,0.37888,0.93986,2.8453,0.58466,0.90178,0.000497531,0.000497531,0.000497531
11,322.107,0.86048,2.44023,0.55289,0.97141,0.89974,0.90129,0.94625,0.6678,0.82575,0.83256,0.86096,0.3948,0.93701,2.62647,0.60178,0.90488,0.000496953,0.000496953,0.000496953
12,348.769,0.87514,2.418,0.55438,0.97078,0.87363,0.90904,0.95062,0.67584,0.81444,0.85138,0.87005,0.38572,0.92019,2.70046,0.60879,0.88876,0.000496315,0.000496315,0.000496315
13,375.72,0.86441,2.42099,0.54873,0.96431,0.85653,0.9279,0.9317,0.68044,0.80229,0.87641,0.86117,0.40324,0.89936,2.59362,0.57506,0.88697,0.000495616,0.000495616,0.000495616
14,406.162,0.85225,2.37842,0.53346,0.96232,0.87642,0.91816,0.95526,0.68836,0.82939,0.88267,0.89979,0.42225,0.91262,2.73616,0.55814,0.88986,0.000494858,0.000494858,0.000494858
15,436.512,0.8555,2.3857,0.5408,0.95691,0.83891,0.90646,0.93163,0.65833,0.80238,0.87005,0.87702,0.39327,0.95345,2.73954,0.61063,0.90109,0.000494039,0.000494039,0.000494039
16,462.99,0.85179,2.33295,0.52354,0.95643,0.89809,0.9044,0.93357,0.66936,0.83598,0.84192,0.84952,0.39693,0.98553,2.69605,0.5845,0.91922,0.000493162,0.000493162,0.000493162
17,490.831,0.8291,2.33364,0.52097,0.95101,0.92895,0.92522,0.95943,0.69455,0.86626,0.86629,0.89037,0.43354,0.93716,2.5724,0.53821,0.90811,0.000492224,0.000492224,0.000492224
18,521.427,0.84226,2.32579,0.52842,0.95534,0.90749,0.93474,0.96365,0.68792,0.85391,0.88773,0.89252,0.42046,0.91208,2.62257,0.55116,0.88452,0.000491228,0.000491228,0.000491228
19,547.576,0.82763,2.33584,0.52292,0.95144,0.85689,0.88616,0.91161,0.65611,0.80652,0.82273,0.82703,0.38664,0.93663,2.65974,0.57788,0.92135,0.000490173,0.000490173,0.000490173
20,574.193,0.81571,2.31516,0.50849,0.94848,0.93774,0.90989,0.96643,0.7121,0.8938,0.86246,0.89859,0.41868,0.83972,2.51907,0.50085,0.86878,0.000489059,0.000489059,0.000489059
21,604.738,0.80565,2.2788,0.49644,0.94419,0.93468,0.92941,0.96114,0.70078,0.86994,0.86626,0.89084,0.4227,0.91046,2.60744,0.50271,0.8955,0.000487886,0.000487886,0.000487886
22,631.985,0.83633,2.29339,0.5111,0.95633,0.9536,0.93198,0.97358,0.71068,0.91388,0.89865,0.92921,0.44864,0.87565,2.48224,0.49594,0.87874,0.000486656,0.000486656,0.000486656
23,662.428,0.80628,2.28221,0.49295,0.94895,0.90457,0.92361,0.95366,0.70181,0.85144,0.87062,0.88868,0.42023,0.87145,2.56602,0.54743,0.86953,0.000485368,0.000485368,0.000485368
24,688.553,0.8021,2.25567,0.48997,0.94137,0.90443,0.92857,0.9603,0.70508,0.8555,0.87926,0.89638,0.43189,0.87782,2.5467,0.51804,0.8754,0.000484022,0.000484022,0.000484022
25,714.614,0.81235,2.24729,0.49293,0.95033,0.92073,0.94348,0.96506,0.71501,0.86537,0.89958,0.90054,0.43428,0.85552,2.46947,0.50518,0.87274,0.00048262,0.00048262,0.00048262
26,742.342,0.80659,2.21794,0.48883,0.94082,0.90222,0.92951,0.94623,0.6981,0.8613,0.88927,0.88804,0.4328,0.87266,2.54815,0.5336,0.87408,0.00048116,0.00048116,0.00048116
27,769.179,0.7936,2.22054,0.48737,0.93959,0.89909,0.9268,0.95752,0.70043,0.85715,0.87919,0.89572,0.42746,0.86674,2.53733,0.5484,0.86888,0.000479644,0.000479644,0.000479644
28,795.282,0.79426,2.23335,0.48478,0.94287,0.94788,0.95293,0.9731,0.72865,0.90371,0.90882,0.91971,0.45217,0.84622,2.42964,0.46942,0.86664,0.000478072,0.000478072,0.000478072
29,825.643,0.79618,2.21486,0.48498,0.93729,0.93115,0.93866,0.95968,0.7075,0.89363,0.908,0.91231,0.43427,0.88475,2.52027,0.50758,0.8753,0.000476445,0.000476445,0.000476445
30,852.309,0.78442,2.17272,0.47489,0.93775,0.95038,0.97025,0.97841,0.73825,0.89961,0.91968,0.91917,0.46731,0.80576,2.32163,0.48813,0.85728,0.000474762,0.000474762,0.000474762
31,883.544,0.78077,2.1755,0.46059,0.93697,0.94221,0.95515,0.97546,0.73977,0.89833,0.91102,0.91751,0.45465,0.8116,2.37993,0.46369,0.85713,0.000473024,0.000473024,0.000473024
32,910.716,0.77226,2.16067,0.4649,0.93476,0.93545,0.93894,0.96673,0.72697,0.89649,0.88114,0.90395,0.44003,0.83658,2.49927,0.48254,0.87174,0.000471232,0.000471232,0.000471232
33,936.96,0.77766,2.15865,0.47522,0.93089,0.95852,0.95293,0.97661,0.73328,0.92648,0.91726,0.92992,0.46694,0.84129,2.40024,0.46864,0.86811,0.000469386,0.000469386,0.000469386
34,963.679,0.77831,2.18774,0.46967,0.93335,0.95523,0.9543,0.97175,0.72971,0.91585,0.91995,0.92511,0.45127,0.84079,2.37988,0.47341,0.86128,0.000467486,0.000467486,0.000467486
35,990.607,0.76816,2.1825,0.46215,0.92707,0.96616,0.95685,0.97541,0.73565,0.91091,0.90442,0.90827,0.45269,0.82173,2.38798,0.44957,0.86652,0.000465534,0.000465534,0.000465534
36,1018.41,0.7826,2.16935,0.46994,0.93429,0.94494,0.95646,0.97079,0.72612,0.90392,0.91714,0.91615,0.44974,0.8247,2.38349,0.4689,0.86613,0.000463528,0.000463528,0.000463528
37,1044.63,0.76546,2.14467,0.45548,0.93437,0.94998,0.96135,0.97845,0.7354,0.88879,0.90313,0.89847,0.44227,0.82699,2.39575,0.44547,0.8611,0.000461471,0.000461471,0.000461471
38,1071.06,0.77665,2.15539,0.46268,0.92942,0.95828,0.95836,0.9773,0.74407,0.91227,0.91294,0.91756,0.45705,0.81741,2.3635,0.43819,0.85585,0.000459362,0.000459362,0.000459362
39,1097.46,0.77012,2.15389,0.45596,0.93376,0.95343,0.95059,0.97379,0.73694,0.90424,0.90255,0.91403,0.46651,0.8198,2.37787,0.45287,0.86073,0.000457202,0.000457202,0.000457202
40,1124.14,0.77384,2.15328,0.45369,0.92924,0.96541,0.94506,0.97227,0.73576,0.91465,0.89931,0.90907,0.4563,0.83481,2.34029,0.45472,0.86104,0.000454992,0.000454992,0.000454992
41,1151,0.76861,2.11043,0.45866,0.93125,0.94539,0.95515,0.96054,0.72276,0.90751,0.91728,0.91965,0.48142,0.82648,2.37147,0.46355,0.86169,0.000452732,0.000452732,0.000452732
42,1177.69,0.74482,2.08319,0.45454,0.9237,0.94865,0.95097,0.97217,0.73729,0.9042,0.88889,0.90184,0.45649,0.81323,2.37671,0.44657,0.85978,0.000450422,0.000450422,0.000450422
43,1203.9,0.7547,2.10057,0.45571,0.92264,0.95811,0.95379,0.97507,0.73479,0.91673,0.90736,0.92212,0.45864,0.82798,2.41287,0.44606,0.86241,0.000448063,0.000448063,0.000448063
44,1230.12,0.75403,2.09849,0.45165,0.92604,0.96166,0.96231,0.97609,0.74178,0.90309,0.90867,0.91175,0.46639,0.79695,2.31997,0.42252,0.8512,0.000445657,0.000445657,0.000445657
45,1260.42,0.74724,2.10155,0.43734,0.92261,0.92572,0.9371,0.96486,0.72796,0.87914,0.88843,0.90015,0.44568,0.82799,2.40875,0.47414,0.86165,0.000443202,0.000443202,0.000443202
46,1287.22,0.769,2.12487,0.45089,0.91949,0.97034,0.97078,0.97854,0.73964,0.93621,0.93457,0.93107,0.47921,0.8115,2.26429,0.43232,0.84897,0.0004407,0.0004407,0.0004407
47,1317.84,0.75851,2.05617,0.43978,0.924,0.97034,0.96997,0.98227,0.74653,0.9235,0.92215,0.92491,0.46938,0.81362,2.30346,0.43118,0.85215,0.000438152,0.000438152,0.000438152
48,1343.67,0.73899,2.05618,0.43957,0.91854,0.93208,0.94735,0.97359,0.74452,0.89064,0.89281,0.91454,0.45483,0.79968,2.36838,0.45231,0.85263,0.000435559,0.000435559,0.000435559
49,1368.98,0.74598,2.07221,0.44947,0.92205,0.97002,0.97253,0.97925,0.74641,0.91929,0.92671,0.92185,0.47058,0.79825,2.33267,0.43632,0.84939,0.00043292,0.00043292,0.00043292
50,1394.75,0.74358,2.07551,0.43921,0.91819,0.95539,0.94241,0.969,0.72703,0.90175,0.8899,0.90275,0.45279,0.84358,2.40585,0.46216,0.86223,0.000430236,0.000430236,0.000430236
51,1420.82,0.74067,2.06168,0.4385,0.92356,0.9565,0.96446,0.97827,0.74691,0.89344,0.90322,0.8978,0.44617,0.79229,2.33929,0.43232,0.8481,0.000427509,0.000427509,0.000427509
52,1446.3,0.74893,2.11258,0.43599,0.9172,0.92661,0.94766,0.97436,0.73657,0.89556,0.88527,0.91225,0.46595,0.80909,2.34232,0.45105,0.85425,0.000424738,0.000424738,0.000424738
53,1472.2,0.73321,2.05343,0.42835,0.91695,0.96707,0.96665,0.9796,0.7494,0.91598,0.91751,0.91463,0.46348,0.7909,2.29156,0.42644,0.84553,0.000421925,0.000421925,0.000421925
54,1498.48,0.73646,2.02657,0.42459,0.91308,0.96329,0.95627,0.97982,0.7542,0.91712,0.90702,0.91607,0.4766,0.77655,2.29995,0.42835,0.84338,0.000419071,0.000419071,0.000419071
55,1528.16,0.73945,2.02968,0.42258,0.91817,0.96365,0.97182,0.97898,0.7504,0.91903,0.92584,0.92502,0.48252,0.7873,2.27317,0.41912,0.84651,0.000416175,0.000416175,0.000416175
56,1559.06,0.73429,2.06065,0.42716,0.91751,0.97003,0.96622,0.98023,0.74492,0.92057,0.91689,0.91546,0.4676,0.79856,2.3231,0.43082,0.84962,0.000413238,0.000413238,0.000413238
57,1585.23,0.73569,2.03967,0.42309,0.91542,0.97001,0.97299,0.98242,0.75812,0.92364,0.92506,0.92504,0.47675,0.79334,2.28016,0.40816,0.8497,0.000410262,0.000410262,0.000410262
58,1615.29,0.73561,2.03396,0.42646,0.91687,0.96338,0.95475,0.97499,0.7511,0.92539,0.91672,0.92498,0.48533,0.80184,2.29214,0.42753,0.85503,0.000407248,0.000407248,0.000407248
59,1645.96,0.74231,2.01848,0.42687,0.91943,0.96107,0.97551,0.97978,0.7459,0.9183,0.91989,0.91952,0.486,0.80007,2.26046,0.42488,0.84625,0.000404194,0.000404194,0.000404194
