epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0733,1.07958,3.32903,1.37346,1.02269,0.85323,0.86915,0.87681,0.58928,0.78755,0.80588,0.79247,0.31582,1.05739,2.91842,0.77655,0.9647,0.000236747,0.000236747,0.000236747
2,89.082,0.9756,2.9736,0.76689,0.96556,0.87553,0.90027,0.91955,0.63928,0.83877,0.83927,0.8591,0.3787,1.01304,2.8382,0.69308,0.9203,0.000472397,0.000472397,0.000472397
3,138.55,0.94647,2.86572,0.69408,0.95752,0.84661,0.88847,0.92141,0.64078,0.76214,0.84572,0.83989,0.36085,0.95065,2.76594,0.67909,0.90388,0.000705691,0.000705691,0.000705691
4,191.886,0.93139,2.82397,0.66264,0.94873,0.88739,0.90296,0.92394,0.65622,0.80952,0.82894,0.84437,0.37278,0.94545,2.75405,0.63147,0.90345,0.000703397,0.000703397,0.000703397
5,245.293,0.91438,2.76736,0.62659,0.94285,0.86105,0.90889,0.95035,0.68248,0.82542,0.8668,0.89797,0.40105,0.92589,2.7195,0.60993,0.89287,0.000699863,0.000699863,0.000699863
6,298.849,0.89676,2.7513,0.62134,0.94338,0.88908,0.90607,0.93893,0.68225,0.83574,0.84802,0.86503,0.39246,0.93149,2.62012,0.61232,0.90176,0.000696328,0.000696328,0.000696328
7,353.551,0.88187,2.65817,0.60482,0.92964,0.90696,0.92548,0.95861,0.69507,0.8571,0.85972,0.88392,0.39245,0.90341,2.61891,0.56209,0.88052,0.000692794,0.000692794,0.000692794
8,408.302,0.8749,2.66122,0.5844,0.92858,0.93611,0.90788,0.96056,0.69037,0.86233,0.84666,0.87593,0.39249,0.90928,2.57766,0.57243,0.88354,0.00068926,0.00068926,0.00068926
9,461.896,0.86174,2.66458,0.57314,0.92536,0.90226,0.92947,0.95876,0.69994,0.8462,0.86463,0.89664,0.4146,0.89644,2.61422,0.56941,0.87992,0.000685726,0.000685726,0.000685726
10,491.483,0.86323,2.61381,0.57622,0.92176,0.89725,0.95054,0.96635,0.71228,0.85456,0.90765,0.91078,0.43335,0.89022,2.51741,0.56578,0.87558,0.000682191,0.000682191,0.000682191
11,538.153,0.8436,2.53929,0.55304,0.91633,0.91203,0.93352,0.96133,0.70459,0.84603,0.89112,0.88811,0.41037,0.86888,2.5336,0.5375,0.86946,0.000678657,0.000678657,0.000678657
12,592.433,0.85584,2.58613,0.55586,0.92351,0.9074,0.92609,0.96326,0.70372,0.86036,0.8875,0.90546,0.41637,0.90177,2.47267,0.55614,0.88923,0.000675123,0.000675123,0.000675123
13,646.925,0.84297,2.54879,0.55514,0.91766,0.92355,0.93323,0.96003,0.71097,0.88889,0.88061,0.91489,0.4299,0.89583,2.48709,0.54863,0.89196,0.000671588,0.000671588,0.000671588
14,701.638,0.8164,2.48377,0.52663,0.90931,0.92868,0.94746,0.96847,0.70788,0.87307,0.90543,0.91119,0.42975,0.89404,2.50942,0.54034,0.87419,0.000668054,0.000668054,0.000668054
15,751.266,0.83705,2.53258,0.5316,0.91454,0.9135,0.93221,0.9618,0.70883,0.85532,0.87744,0.88578,0.4062,0.87308,2.47473,0.53092,0.87015,0.00066452,0.00066452,0.00066452
16,805.913,0.81683,2.42591,0.52296,0.90564,0.92618,0.95431,0.97033,0.72777,0.89075,0.92405,0.92316,0.44792,0.84913,2.40858,0.52249,0.86011,0.000660986,0.000660986,0.000660986
17,859.182,0.81648,2.46447,0.51519,0.90984,0.95318,0.9523,0.98014,0.73331,0.90523,0.91284,0.92751,0.43801,0.85646,2.44338,0.52104,0.8594,0.000657451,0.000657451,0.000657451
18,892.228,0.80569,2.42172,0.50113,0.8985,0.95523,0.93992,0.97362,0.74071,0.89715,0.89778,0.9142,0.44291,0.84015,2.41317,0.48257,0.866,0.000653917,0.000653917,0.000653917
19,938.386,0.8118,2.41477,0.51474,0.90475,0.95591,0.95763,0.98005,0.73116,0.91451,0.91677,0.93608,0.43755,0.84226,2.43459,0.50888,0.85753,0.000650383,0.000650383,0.000650383
20,981.041,0.78913,2.3855,0.50152,0.90134,0.94328,0.95201,0.97581,0.73336,0.89267,0.90377,0.91882,0.43434,0.85365,2.41151,0.49697,0.86178,0.000646848,0.000646848,0.000646848
21,1034.34,0.78904,2.40437,0.49757,0.9011,0.96305,0.95974,0.97948,0.73486,0.91668,0.90664,0.91631,0.42784,0.83949,2.39861,0.47959,0.85782,0.000643314,0.000643314,0.000643314
22,1089.02,0.79182,2.36354,0.49151,0.89938,0.95943,0.95766,0.97935,0.74252,0.91624,0.91717,0.9273,0.44922,0.84143,2.37788,0.47793,0.85455,0.00063978,0.00063978,0.00063978
23,1143.74,0.78891,2.35313,0.4859,0.89869,0.94022,0.9432,0.96487,0.72915,0.88264,0.88833,0.89655,0.43977,0.87326,2.44711,0.50113,0.87945,0.000636245,0.000636245,0.000636245
24,1196.56,0.78949,2.40214,0.48864,0.89858,0.94371,0.94555,0.96524,0.72058,0.88945,0.89195,0.90275,0.43571,0.86937,2.39531,0.49248,0.86631,0.000632711,0.000632711,0.000632711
25,1246.35,0.78735,2.31688,0.48718,0.89963,0.96634,0.93953,0.97603,0.74096,0.90943,0.88487,0.91381,0.44382,0.84413,2.36932,0.48775,0.86326,0.000629177,0.000629177,0.000629177
26,1289.52,0.78344,2.30261,0.4786,0.90271,0.95887,0.95553,0.98129,0.73962,0.90836,0.90611,0.91621,0.43408,0.83952,2.36446,0.47827,0.8549,0.000625642,0.000625642,0.000625642
27,1324.39,0.77819,2.27061,0.47324,0.89692,0.96625,0.96396,0.9816,0.74664,0.9094,0.91046,0.91186,0.43849,0.83308,2.39941,0.47354,0.85789,0.000622108,0.000622108,0.000622108
28,1378.96,0.78642,2.28851,0.48374,0.89595,0.96673,0.97031,0.98103,0.75555,0.93337,0.93113,0.93771,0.46033,0.79337,2.32912,0.45725,0.84364,0.000618574,0.000618574,0.000618574
29,1434.22,0.76803,2.30822,0.46998,0.89644,0.97064,0.97371,0.98639,0.76252,0.92907,0.93308,0.94261,0.47823,0.8111,2.26925,0.46186,0.85994,0.00061504,0.00061504,0.00061504
30,1483.4,0.78003,2.29588,0.47964,0.89722,0.95554,0.97253,0.98029,0.74842,0.90282,0.91935,0.92451,0.43301,0.83321,2.42195,0.47966,0.85459,0.000611505,0.000611505,0.000611505
31,1536.74,0.76578,2.25334,0.47215,0.89782,0.96971,0.96711,0.98178,0.7464,0.91696,0.91684,0.92612,0.44294,0.82533,2.30249,0.4591,0.85242,0.000607971,0.000607971,0.000607971
32,1589.9,0.76912,2.23968,0.47491,0.89241,0.96575,0.95953,0.98185,0.73992,0.90982,0.90529,0.91734,0.44089,0.83933,2.40708,0.48104,0.85484,0.000604437,0.000604437,0.000604437
33,1643.42,0.7604,2.24667,0.4634,0.88843,0.96395,0.96731,0.98169,0.75143,0.93067,0.93131,0.94347,0.46386,0.82209,2.32564,0.45402,0.85401,0.000600902,0.000600902,0.000600902
34,1688.93,0.77944,2.276,0.48488,0.89934,0.94197,0.95392,0.97469,0.73473,0.89522,0.90829,0.91405,0.44578,0.86727,2.28721,0.49201,0.85863,0.000597368,0.000597368,0.000597368
35,1713.88,0.75789,2.22803,0.46922,0.89237,0.96298,0.97208,0.98186,0.75587,0.92337,0.93431,0.93926,0.47048,0.80644,2.24676,0.45248,0.84624,0.000593834,0.000593834,0.000593834
36,1766.07,0.77158,2.22033,0.46117,0.89323,0.97538,0.9769,0.98747,0.75509,0.92478,0.93093,0.9356,0.46906,0.81612,2.24057,0.45907,0.84588,0.0005903,0.0005903,0.0005903
37,1819.37,0.74304,2.17128,0.4497,0.88703,0.98255,0.97089,0.98555,0.76463,0.94711,0.93596,0.94753,0.47704,0.79462,2.23382,0.43883,0.83966,0.000586765,0.000586765,0.000586765
38,1873.83,0.7473,2.19374,0.4468,0.88834,0.97566,0.97718,0.98557,0.76482,0.93572,0.93499,0.94661,0.46423,0.80117,2.28328,0.44414,0.84591,0.000583231,0.000583231,0.000583231
39,1927,0.74852,2.21035,0.44782,0.88753,0.95395,0.96009,0.97466,0.74661,0.91112,0.91757,0.93258,0.4481,0.83602,2.34459,0.46388,0.85264,0.000579697,0.000579697,0.000579697
40,1977.88,0.73844,2.16437,0.4414,0.88673,0.97543,0.97796,0.9839,0.75951,0.93542,0.94036,0.94137,0.47248,0.81023,2.2468,0.45634,0.84689,0.000576162,0.000576162,0.000576162
41,2031.21,0.7459,2.16538,0.45272,0.88851,0.97763,0.96562,0.98424,0.76227,0.93771,0.93984,0.94873,0.48159,0.79508,2.30382,0.43715,0.84386,0.000572628,0.000572628,0.000572628
42,2086.59,0.73609,2.14817,0.44245,0.8857,0.96336,0.96647,0.98415,0.76577,0.9226,0.92522,0.934,0.46285,0.80338,2.27617,0.44955,0.84239,0.000569094,0.000569094,0.000569094
43,2113.01,0.73095,2.1421,0.44254,0.88493,0.9749,0.98137,0.98623,0.76252,0.93419,0.94042,0.93582,0.48543,0.80333,2.21036,0.43493,0.8435,0.000565559,0.000565559,0.000565559
44,2164.3,0.72837,2.10033,0.43659,0.88177,0.97913,0.9791,0.98555,0.75912,0.94351,0.94322,0.94744,0.48446,0.79912,2.22666,0.42562,0.84099,0.000562025,0.000562025,0.000562025
45,2216.02,0.73976,2.16898,0.43938,0.88696,0.97272,0.97395,0.98537,0.76421,0.93267,0.93514,0.93931,0.48131,0.79397,2.26979,0.44236,0.8394,0.000558491,0.000558491,0.000558491
46,2269.82,0.74088,2.09361,0.44134,0.88369,0.97848,0.97323,0.98591,0.77215,0.94359,0.93031,0.94634,0.47895,0.78845,2.21543,0.4316,0.84175,0.000554956,0.000554956,0.000554956
47,2324.6,0.72217,2.13883,0.42788,0.88045,0.96394,0.97156,0.98185,0.76566,0.92442,0.92284,0.92489,0.48707,0.78197,2.19332,0.44129,0.83978,0.000551422,0.000551422,0.000551422
48,2379.3,0.72892,2.08352,0.43036,0.88055,0.97628,0.97628,0.98275,0.75897,0.92983,0.93125,0.93295,0.47537,0.79955,2.25416,0.43633,0.8456,0.000547888,0.000547888,0.000547888
49,2431.15,0.73909,2.08669,0.43731,0.88457,0.96696,0.97628,0.98318,0.76007,0.92577,0.93484,0.92928,0.46832,0.79252,2.25716,0.43576,0.83885,0.000544354,0.000544354,0.000544354
