epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3064,1.0739,3.17469,1.19019,1.04195,0.83775,0.8524,0.88125,0.58646,0.78286,0.78205,0.78069,0.33072,1.12323,2.98554,0.68177,0.98147,0.000237686,0.000237686,0.000237686
2,127.858,1.02685,2.96037,0.80128,1.02209,0.9032,0.89028,0.9098,0.62175,0.82507,0.81546,0.81302,0.36171,1.04714,2.81349,0.67299,0.95417,0.000470977,0.000470977,0.000470977
3,194.515,1.04942,2.9222,0.82058,1.02536,0.87129,0.88488,0.92188,0.61757,0.79533,0.81561,0.83037,0.37407,1.11314,2.81379,0.71933,0.97847,0.000699555,0.000699555,0.000699555
4,260.919,1.02484,2.87918,0.76451,1.01201,0.86858,0.88584,0.88079,0.61843,0.80025,0.82225,0.80266,0.34661,1.03823,2.79238,0.76075,0.96372,0.000692794,0.000692794,0.000692794
5,324.871,1.00382,2.84674,0.72564,1.00167,0.89811,0.89202,0.915,0.64803,0.83124,0.84104,0.84049,0.37331,1.02382,2.75907,0.68065,0.95776,0.000685726,0.000685726,0.000685726
6,393.77,0.96401,2.81156,0.69558,0.98664,0.85612,0.90122,0.90314,0.63954,0.79522,0.84558,0.8311,0.37909,0.98115,2.68149,0.65671,0.92817,0.000678657,0.000678657,0.000678657
7,458.435,0.94153,2.79264,0.64319,0.98198,0.87745,0.91656,0.92725,0.64718,0.80786,0.84616,0.84368,0.37135,0.96859,2.69807,0.63559,0.92299,0.000671588,0.000671588,0.000671588
8,521.661,0.92808,2.80132,0.62207,0.97346,0.88033,0.91228,0.92664,0.65999,0.82466,0.86659,0.85496,0.38608,0.92384,2.63755,0.62711,0.90378,0.00066452,0.00066452,0.00066452
9,588.403,0.91926,2.74097,0.61372,0.96945,0.89569,0.92952,0.93707,0.66681,0.84273,0.86314,0.86969,0.40154,0.95648,2.71294,0.60974,0.91109,0.000657451,0.000657451,0.000657451
10,655.648,0.88944,2.749,0.60332,0.96393,0.90297,0.93265,0.93615,0.67357,0.84526,0.87057,0.86447,0.39326,0.92644,2.63797,0.57811,0.90711,0.000650383,0.000650383,0.000650383
11,719.765,0.8787,2.69654,0.58269,0.9547,0.90879,0.9118,0.93304,0.67941,0.84298,0.8443,0.85226,0.38979,0.92516,2.56651,0.58563,0.90063,0.000643314,0.000643314,0.000643314
12,782.67,0.88222,2.64747,0.58121,0.95073,0.88681,0.92143,0.93463,0.67486,0.83756,0.87159,0.86681,0.3986,0.91408,2.58332,0.5739,0.8978,0.000636245,0.000636245,0.000636245
13,849.599,0.86264,2.64002,0.58022,0.95067,0.91276,0.92005,0.94572,0.69222,0.84426,0.85717,0.87523,0.41282,0.90217,2.60616,0.57645,0.89764,0.000629177,0.000629177,0.000629177
14,916.779,0.8572,2.64042,0.58505,0.94285,0.90244,0.9299,0.9527,0.69552,0.84392,0.86611,0.87106,0.41038,0.90103,2.59426,0.56624,0.89185,0.000622108,0.000622108,0.000622108
15,983.429,0.83787,2.61515,0.55999,0.93485,0.90572,0.94184,0.95146,0.68766,0.87065,0.88316,0.89285,0.43771,0.89282,2.56302,0.55237,0.89045,0.00061504,0.00061504,0.00061504
16,1050.62,0.83907,2.58249,0.55344,0.93542,0.91862,0.923,0.95499,0.69513,0.85506,0.86265,0.88897,0.41441,0.91759,2.60757,0.55876,0.893,0.000607971,0.000607971,0.000607971
17,1113.3,0.84362,2.58791,0.55722,0.93886,0.86417,0.92005,0.94316,0.70253,0.82709,0.88344,0.89383,0.41798,0.8635,2.51324,0.561,0.87822,0.000600902,0.000600902,0.000600902
18,1177.94,0.81202,2.53098,0.53921,0.92618,0.88721,0.93716,0.95364,0.69869,0.83165,0.88244,0.88934,0.41348,0.86835,2.54895,0.54635,0.87671,0.000593834,0.000593834,0.000593834
19,1240.99,0.8229,2.51287,0.53789,0.93184,0.91952,0.92684,0.95365,0.70276,0.86348,0.87401,0.89614,0.43015,0.8609,2.4612,0.53304,0.87526,0.000586765,0.000586765,0.000586765
20,1309.63,0.81379,2.49214,0.52787,0.92785,0.92103,0.9242,0.95614,0.7155,0.87892,0.88251,0.90403,0.4293,0.84233,2.46536,0.5259,0.87105,0.000579697,0.000579697,0.000579697
21,1378.4,0.79908,2.48569,0.52565,0.92109,0.90321,0.9257,0.95364,0.70803,0.86397,0.89315,0.91314,0.44456,0.85703,2.44952,0.53665,0.87968,0.000572628,0.000572628,0.000572628
22,1460.89,0.78967,2.44247,0.51555,0.91897,0.91107,0.92972,0.9585,0.71898,0.852,0.88071,0.89093,0.43519,0.84252,2.45775,0.53677,0.87142,0.000565559,0.000565559,0.000565559
23,1524.66,0.79402,2.44439,0.51283,0.91247,0.91509,0.94931,0.95645,0.7167,0.86798,0.89794,0.90437,0.42643,0.86408,2.41951,0.51079,0.87484,0.000558491,0.000558491,0.000558491
24,1589.48,0.78965,2.41038,0.5039,0.91399,0.91095,0.92185,0.9553,0.71985,0.851,0.86385,0.88958,0.43426,0.84131,2.45654,0.51614,0.87252,0.000551422,0.000551422,0.000551422
25,1651.65,0.7774,2.39853,0.49947,0.91657,0.91766,0.95216,0.97081,0.7334,0.8676,0.90243,0.9169,0.45453,0.82032,2.40699,0.51856,0.86033,0.000544354,0.000544354,0.000544354
26,1721.86,0.76965,2.42513,0.49191,0.91051,0.9126,0.92835,0.96089,0.7201,0.83908,0.87972,0.89155,0.43087,0.85347,2.43512,0.51212,0.87264,0.000537285,0.000537285,0.000537285
