epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6876,1.02948,3.28716,1.4364,1.02047,0.80273,0.88667,0.88826,0.60509,0.71317,0.77562,0.72516,0.2977,1.03734,3.19136,0.75168,0.953,0.000233673,0.000233673,0.000233673
2,46.448,0.95665,2.86457,0.69018,0.96163,0.72165,0.80563,0.85865,0.5846,0.64955,0.72771,0.74434,0.31551,1.1095,3.21405,1.23698,0.98842,0.000470116,0.000470116,0.000470116
3,62.0301,0.92473,2.77314,0.66735,0.95236,0.67253,0.81375,0.83279,0.52561,0.574,0.74351,0.70482,0.28249,1.24642,3.39688,1.38294,1.09615,0.000704989,0.000704989,0.000704989
4,77.8404,0.92183,2.73732,0.63658,0.9512,0.78899,0.8559,0.87219,0.5967,0.72549,0.77803,0.76809,0.32145,1.03105,3.05886,0.81391,0.97014,0.000706931,0.000706931,0.000706931
5,94.9278,0.90215,2.71951,0.59754,0.94819,0.83958,0.89496,0.91737,0.63625,0.7819,0.83747,0.82465,0.36575,0.98142,2.79259,0.72667,0.93646,0.000704575,0.000704575,0.000704575
6,112.107,0.89669,2.63194,0.57708,0.94154,0.81087,0.86643,0.87562,0.61374,0.739,0.79115,0.77889,0.33358,0.97983,2.82063,0.69684,0.92838,0.000702219,0.000702219,0.000702219
7,127.971,0.8723,2.5936,0.57308,0.93565,0.86735,0.91117,0.92405,0.63974,0.79219,0.84234,0.83099,0.36013,0.97993,2.70427,0.66191,0.9258,0.000699863,0.000699863,0.000699863
8,143.668,0.86174,2.62363,0.54696,0.92941,0.92323,0.91834,0.94642,0.65248,0.87322,0.86859,0.88502,0.40104,0.99534,2.62994,0.61561,0.91489,0.000697507,0.000697507,0.000697507
9,160.757,0.84293,2.56169,0.53278,0.92379,0.91392,0.92482,0.94693,0.67251,0.86492,0.87473,0.88526,0.4064,0.94979,2.69492,0.59613,0.90579,0.00069515,0.00069515,0.00069515
10,177.933,0.8346,2.49484,0.54031,0.919,0.91276,0.91079,0.94829,0.68455,0.84134,0.86718,0.86965,0.40088,0.94031,2.651,0.59337,0.90571,0.000692794,0.000692794,0.000692794
11,195.007,0.82413,2.52166,0.52257,0.91887,0.88254,0.88117,0.90779,0.636,0.80052,0.80895,0.80987,0.36511,1.02109,2.85994,0.6431,0.95468,0.000690438,0.000690438,0.000690438
12,210.718,0.83377,2.5031,0.52507,0.92034,0.87245,0.89991,0.93113,0.66179,0.80173,0.81964,0.84311,0.39524,0.95756,2.71787,0.61826,0.91424,0.000688082,0.000688082,0.000688082
13,226.33,0.8228,2.46743,0.50927,0.9166,0.88299,0.91726,0.9287,0.66331,0.82987,0.87199,0.86266,0.40741,0.89599,2.60001,0.578,0.89121,0.000685726,0.000685726,0.000685726
14,242.185,0.80472,2.43562,0.49903,0.9106,0.91935,0.91694,0.9532,0.69057,0.83985,0.84832,0.85954,0.40377,0.92127,2.63641,0.53734,0.89573,0.000683369,0.000683369,0.000683369
15,259.38,0.79169,2.41874,0.49785,0.9038,0.91649,0.92875,0.95585,0.69417,0.87257,0.88372,0.89891,0.43542,0.92358,2.50971,0.54838,0.89042,0.000681013,0.000681013,0.000681013
16,276.729,0.79157,2.3753,0.48159,0.90258,0.92529,0.93818,0.96339,0.70344,0.87577,0.88889,0.89798,0.42562,0.86877,2.48797,0.50585,0.87639,0.000678657,0.000678657,0.000678657
17,293.759,0.77996,2.39489,0.49489,0.90102,0.90583,0.91026,0.93878,0.68738,0.85064,0.85189,0.86202,0.4076,0.9139,2.71724,0.5556,0.89992,0.000676301,0.000676301,0.000676301
18,309.35,0.77422,2.38426,0.48443,0.89966,0.88825,0.90703,0.93613,0.67221,0.80991,0.82375,0.83299,0.3903,0.93052,2.66083,0.58236,0.90517,0.000673945,0.000673945,0.000673945
19,325.113,0.779,2.36179,0.48127,0.90317,0.92266,0.91004,0.95093,0.7038,0.86184,0.85518,0.87676,0.40972,0.88362,2.52608,0.53659,0.88279,0.000671588,0.000671588,0.000671588
20,340.719,0.7573,2.34679,0.46559,0.89494,0.93877,0.95678,0.96996,0.7154,0.89004,0.90872,0.90396,0.44146,0.85869,2.43417,0.49983,0.86614,0.000669232,0.000669232,0.000669232
21,358.099,0.75668,2.29543,0.46924,0.89203,0.95244,0.94401,0.96611,0.71614,0.91199,0.90335,0.91409,0.43364,0.88012,2.4887,0.48609,0.88087,0.000666876,0.000666876,0.000666876
22,373.574,0.77396,2.31866,0.47111,0.89712,0.92204,0.94519,0.95099,0.70726,0.87338,0.89371,0.88849,0.43337,0.87168,2.46814,0.488,0.8809,0.00066452,0.00066452,0.00066452
23,389.23,0.75102,2.32205,0.45849,0.90121,0.94234,0.92853,0.9588,0.70051,0.87559,0.86352,0.8795,0.42935,0.90489,2.54231,0.51486,0.88365,0.000662164,0.000662164,0.000662164
24,404.78,0.75593,2.23924,0.46396,0.89285,0.95833,0.95555,0.97427,0.72163,0.90792,0.90343,0.90928,0.43613,0.85369,2.45308,0.46869,0.86931,0.000659807,0.000659807,0.000659807
25,422.124,0.75349,2.25441,0.46405,0.8962,0.95336,0.94944,0.97135,0.72753,0.89032,0.90785,0.8963,0.44007,0.82204,2.42402,0.47899,0.86211,0.000657451,0.000657451,0.000657451
26,439.265,0.74649,2.24521,0.45842,0.89313,0.93048,0.9374,0.95782,0.71669,0.88438,0.89202,0.89717,0.44961,0.85384,2.45416,0.48508,0.87399,0.000655095,0.000655095,0.000655095
27,455.151,0.73963,2.2548,0.45703,0.88895,0.94064,0.95193,0.96706,0.72587,0.8964,0.90331,0.91935,0.45379,0.84054,2.42056,0.47016,0.86297,0.000652739,0.000652739,0.000652739
28,472.307,0.7344,2.24815,0.44428,0.88669,0.92917,0.9571,0.96411,0.7205,0.87942,0.9015,0.89316,0.44388,0.83532,2.42924,0.4714,0.85901,0.000650383,0.000650383,0.000650383
29,488.08,0.74821,2.24095,0.45525,0.89138,0.96629,0.9582,0.97577,0.73377,0.91188,0.90513,0.90797,0.44634,0.83021,2.39158,0.44337,0.85877,0.000648026,0.000648026,0.000648026
30,505.124,0.75338,2.21129,0.45517,0.89038,0.9533,0.9531,0.97208,0.73865,0.89921,0.89669,0.9079,0.45485,0.8227,2.37162,0.4571,0.8621,0.00064567,0.00064567,0.00064567
31,522.388,0.73407,2.21507,0.43971,0.88877,0.95476,0.9441,0.95991,0.72569,0.90279,0.89925,0.89384,0.45714,0.84185,2.44251,0.46766,0.87643,0.000643314,0.000643314,0.000643314
32,537.938,0.72343,2.18836,0.43225,0.88307,0.93882,0.93221,0.9669,0.72667,0.87696,0.87729,0.89098,0.44939,0.83212,2.40412,0.46637,0.86266,0.000640958,0.000640958,0.000640958
33,553.546,0.71628,2.16159,0.42864,0.88162,0.94914,0.93519,0.96776,0.73016,0.87822,0.8689,0.88293,0.43897,0.84033,2.50742,0.45981,0.87326,0.000638602,0.000638602,0.000638602
34,569.081,0.73224,2.2044,0.43735,0.88318,0.95138,0.94571,0.96999,0.73728,0.8979,0.89682,0.90392,0.45483,0.81355,2.37823,0.46185,0.85693,0.000636245,0.000636245,0.000636245
35,584.832,0.73171,2.20156,0.43306,0.88361,0.96288,0.96373,0.97264,0.73405,0.91957,0.91853,0.91573,0.47335,0.81504,2.33599,0.45724,0.85773,0.000633889,0.000633889,0.000633889
36,601.997,0.72907,2.16588,0.43726,0.89145,0.96873,0.95719,0.97751,0.7348,0.90264,0.91277,0.91222,0.45541,0.83128,2.35501,0.44599,0.8582,0.000631533,0.000631533,0.000631533
37,617.607,0.71616,2.14601,0.42526,0.88511,0.94978,0.94948,0.97414,0.7368,0.89241,0.89456,0.90842,0.45074,0.82587,2.39873,0.44709,0.85716,0.000629177,0.000629177,0.000629177
38,633.045,0.72242,2.13642,0.42931,0.88189,0.95765,0.94617,0.97112,0.74051,0.90209,0.89807,0.89756,0.45472,0.82,2.34375,0.45259,0.86101,0.000626821,0.000626821,0.000626821
39,648.754,0.72179,2.16034,0.42743,0.88207,0.94484,0.94919,0.96987,0.73952,0.89365,0.90067,0.90217,0.46127,0.79857,2.32309,0.45114,0.85479,0.000624464,0.000624464,0.000624464
40,664.158,0.71396,2.11487,0.41881,0.88392,0.96484,0.96713,0.97834,0.74842,0.91648,0.91711,0.91098,0.44745,0.7971,2.45466,0.43169,0.85231,0.000622108,0.000622108,0.000622108
41,679.678,0.71521,2.10577,0.41686,0.87976,0.93728,0.94447,0.96749,0.73603,0.88369,0.88828,0.90367,0.44952,0.81785,2.33355,0.45213,0.8604,0.000619752,0.000619752,0.000619752
42,695.511,0.7039,2.11533,0.414,0.87633,0.96393,0.96116,0.97687,0.74909,0.91418,0.90992,0.9134,0.46893,0.79991,2.33055,0.42115,0.85494,0.000617396,0.000617396,0.000617396
43,712.639,0.71304,2.10759,0.41847,0.87975,0.9663,0.9723,0.98045,0.74582,0.92301,0.93191,0.93154,0.4704,0.80335,2.34604,0.42682,0.85267,0.00061504,0.00061504,0.00061504
44,729.744,0.70843,2.0708,0.41732,0.87763,0.96679,0.96623,0.97675,0.7462,0.90577,0.90945,0.91119,0.46465,0.79487,2.27544,0.41372,0.8514,0.000612683,0.000612683,0.000612683
45,745.265,0.6985,2.05319,0.40767,0.87754,0.95591,0.95908,0.97705,0.74517,0.91474,0.89876,0.90943,0.46064,0.81283,2.32503,0.43131,0.85479,0.000610327,0.000610327,0.000610327
46,761.015,0.70485,2.06283,0.41735,0.87442,0.96387,0.96871,0.97675,0.74734,0.91703,0.92339,0.91266,0.45641,0.78923,2.39482,0.42402,0.85134,0.000607971,0.000607971,0.000607971
47,776.658,0.70256,2.04214,0.40464,0.87868,0.96125,0.95982,0.97641,0.73471,0.91154,0.91746,0.91011,0.46807,0.83082,2.33884,0.43719,0.85967,0.000605615,0.000605615,0.000605615
48,792.333,0.68599,2.02535,0.40333,0.87526,0.96534,0.9562,0.97549,0.74481,0.91588,0.90617,0.91921,0.45954,0.79925,2.32727,0.4171,0.85049,0.000603259,0.000603259,0.000603259
49,807.805,0.69249,2.0269,0.40451,0.87827,0.95121,0.94846,0.9703,0.74553,0.90212,0.89821,0.91015,0.46107,0.80081,2.35369,0.42027,0.85211,0.000600902,0.000600902,0.000600902
50,823.682,0.69061,2.05057,0.39596,0.87822,0.96968,0.96651,0.98058,0.74205,0.90803,0.90753,0.8969,0.45196,0.81701,2.32865,0.42217,0.8551,0.000598546,0.000598546,0.000598546
51,839.107,0.68503,2.02065,0.39355,0.87173,0.97304,0.96808,0.98036,0.75219,0.91059,0.90547,0.90421,0.46463,0.78613,2.25032,0.40878,0.84827,0.00059619,0.00059619,0.00059619
52,854.903,0.69605,2.07372,0.41127,0.87485,0.92785,0.92783,0.94936,0.71041,0.86537,0.86611,0.86813,0.42688,0.88714,2.43465,0.47368,0.88126,0.000593834,0.000593834,0.000593834
53,870.583,0.6974,2.00024,0.40514,0.87739,0.96519,0.95588,0.97864,0.75316,0.91804,0.91128,0.91837,0.47622,0.79725,2.25844,0.43073,0.8532,0.000591478,0.000591478,0.000591478
54,887.721,0.68885,1.98415,0.3938,0.87169,0.95682,0.95312,0.97697,0.74933,0.91231,0.91076,0.92533,0.47817,0.79035,2.31931,0.42798,0.85593,0.000589121,0.000589121,0.000589121
55,903.414,0.6853,1.99069,0.397,0.87008,0.96195,0.96902,0.98166,0.75378,0.92359,0.92125,0.92609,0.48004,0.78911,2.26537,0.4211,0.84478,0.000586765,0.000586765,0.000586765
56,920.563,0.68774,1.99937,0.40891,0.87598,0.97023,0.96049,0.98065,0.74798,0.9242,0.91323,0.91637,0.46512,0.81187,2.32301,0.42196,0.84848,0.000584409,0.000584409,0.000584409
57,936.005,0.68108,2.01275,0.39372,0.87108,0.9771,0.97112,0.9826,0.75412,0.92759,0.92074,0.91802,0.47338,0.79607,2.31669,0.41913,0.8459,0.000582053,0.000582053,0.000582053
58,951.736,0.67753,1.98734,0.39612,0.87074,0.95594,0.96229,0.97665,0.74493,0.90526,0.89002,0.89065,0.45251,0.80778,2.33562,0.41966,0.85241,0.000579697,0.000579697,0.000579697
59,967.222,0.67668,1.96912,0.3911,0.86598,0.96528,0.97101,0.98457,0.75358,0.91467,0.91838,0.91794,0.47718,0.79509,2.30496,0.42044,0.84745,0.00057734,0.00057734,0.00057734
60,982.782,0.69804,1.98983,0.40432,0.87527,0.97819,0.96921,0.98146,0.75098,0.93027,0.92249,0.92099,0.48531,0.80337,2.27876,0.42044,0.8505,0.000574984,0.000574984,0.000574984
61,1000.1,0.68775,1.96183,0.39859,0.87365,0.97033,0.96895,0.98163,0.74954,0.92133,0.92039,0.91796,0.46889,0.79956,2.30278,0.41158,0.8511,0.000572628,0.000572628,0.000572628
62,1015.72,0.67885,1.96357,0.39229,0.8731,0.96685,0.96557,0.97922,0.75495,0.91986,0.91991,0.91699,0.47578,0.78653,2.31032,0.41725,0.85272,0.000570272,0.000570272,0.000570272
63,1031.51,0.68338,2.00095,0.39757,0.87372,0.97646,0.96835,0.98225,0.7559,0.93493,0.92811,0.9299,0.48873,0.79045,2.22414,0.41049,0.85259,0.000567916,0.000567916,0.000567916
64,1048.72,0.67428,1.9353,0.39714,0.87135,0.97465,0.97468,0.98137,0.75083,0.92425,0.92182,0.91779,0.48493,0.80753,2.28182,0.41729,0.85681,0.000565559,0.000565559,0.000565559
65,1064.46,0.68183,1.92908,0.39191,0.87468,0.97021,0.9691,0.9814,0.75686,0.91924,0.91809,0.9063,0.47377,0.79538,2.32836,0.40978,0.85326,0.000563203,0.000563203,0.000563203
66,1080.06,0.66622,1.92522,0.38563,0.87125,0.95581,0.95982,0.9747,0.75216,0.91268,0.90733,0.91084,0.48212,0.795,2.29214,0.42001,0.85747,0.000560847,0.000560847,0.000560847
67,1095.77,0.67292,1.91197,0.38914,0.87015,0.96429,0.96051,0.97738,0.75321,0.90837,0.90999,0.9122,0.47569,0.79573,2.29414,0.405,0.85335,0.000558491,0.000558491,0.000558491
68,1111.39,0.66514,1.91646,0.38361,0.87085,0.96332,0.97384,0.98319,0.76534,0.92403,0.93356,0.93835,0.48594,0.77705,2.27395,0.40175,0.84917,0.000556135,0.000556135,0.000556135
69,1128.63,0.67433,1.93684,0.38665,0.87351,0.96772,0.97154,0.98325,0.76403,0.91105,0.9184,0.91391,0.48221,0.77344,2.25941,0.40343,0.8437,0.000553778,0.000553778,0.000553778
70,1144.28,0.66507,1.88378,0.38324,0.86897,0.97271,0.97219,0.98357,0.76454,0.91843,0.91536,0.91402,0.48928,0.76233,2.20505,0.40441,0.84815,0.000551422,0.000551422,0.000551422
71,1160.14,0.6701,1.92802,0.38661,0.87137,0.96511,0.97217,0.98368,0.76459,0.91979,0.92957,0.92697,0.47863,0.77112,2.27283,0.40599,0.84352,0.000549066,0.000549066,0.000549066
72,1175.79,0.65185,1.8456,0.37144,0.86454,0.97229,0.97509,0.98241,0.76991,0.93194,0.92637,0.92662,0.49909,0.76293,2.20494,0.40008,0.84402,0.00054671,0.00054671,0.00054671
73,1193.08,0.66331,1.89815,0.37952,0.86845,0.95204,0.96107,0.97869,0.7548,0.89658,0.90483,0.8971,0.46409,0.79492,2.28551,0.42027,0.84924,0.000544354,0.000544354,0.000544354
74,1208.62,0.662,1.91446,0.38385,0.86893,0.96665,0.96682,0.9782,0.74853,0.9241,0.92296,0.92404,0.4737,0.79145,2.25623,0.41557,0.85214,0.000541997,0.000541997,0.000541997
75,1224.36,0.67303,1.92972,0.38505,0.86933,0.97668,0.97255,0.98297,0.7543,0.9248,0.91771,0.91981,0.48892,0.78739,2.25143,0.39919,0.8467,0.000539641,0.000539641,0.000539641
76,1239.89,0.65965,1.85505,0.37624,0.86766,0.9709,0.96944,0.98375,0.7698,0.91662,0.91611,0.91316,0.50409,0.76675,2.21132,0.40444,0.84275,0.000537285,0.000537285,0.000537285
77,1257.18,0.66982,1.87778,0.39053,0.87597,0.96146,0.97475,0.98271,0.75571,0.91511,0.92637,0.92103,0.48331,0.78643,2.26426,0.41205,0.85193,0.000534929,0.000534929,0.000534929
78,1272.71,0.67111,1.86755,0.38132,0.872,0.97049,0.97195,0.98481,0.76677,0.92306,0.92378,0.92071,0.50355,0.76377,2.27861,0.39632,0.84831,0.000532573,0.000532573,0.000532573
79,1288.38,0.65863,1.8715,0.37228,0.86386,0.97018,0.97737,0.98419,0.76746,0.92672,0.92395,0.92163,0.49879,0.77,2.24622,0.39104,0.84286,0.000530216,0.000530216,0.000530216
80,1303.96,0.6567,1.84215,0.37397,0.86045,0.97158,0.96991,0.98517,0.76484,0.92551,0.92591,0.92562,0.49143,0.77441,2.24363,0.39587,0.84064,0.00052786,0.00052786,0.00052786
81,1319.65,0.64669,1.83868,0.36551,0.86146,0.98112,0.97145,0.98583,0.76782,0.92829,0.92003,0.91833,0.49403,0.7762,2.23889,0.39688,0.84107,0.000525504,0.000525504,0.000525504
82,1335.23,0.65454,1.83485,0.37468,0.86132,0.97684,0.9723,0.98563,0.77046,0.92256,0.91655,0.91325,0.49672,0.76954,2.23193,0.39732,0.84434,0.000523148,0.000523148,0.000523148
83,1350.95,0.63469,1.82726,0.36866,0.86279,0.97213,0.96022,0.9829,0.76657,0.90068,0.88708,0.89471,0.47737,0.77696,2.27429,0.40746,0.84643,0.000520792,0.000520792,0.000520792
84,1366.68,0.65617,1.85975,0.36882,0.86679,0.96206,0.95781,0.97685,0.75807,0.92271,0.91467,0.9257,0.48985,0.78623,2.24567,0.41674,0.854,0.000518435,0.000518435,0.000518435
85,1382.44,0.65373,1.84787,0.37846,0.86767,0.97556,0.96347,0.9833,0.76581,0.93495,0.92283,0.93864,0.51636,0.76985,2.23159,0.40563,0.8416,0.000516079,0.000516079,0.000516079
86,1399.76,0.65293,1.85726,0.37333,0.87104,0.96677,0.96007,0.97774,0.75445,0.91794,0.91221,0.91578,0.48576,0.80249,2.35134,0.41328,0.85521,0.000513723,0.000513723,0.000513723
87,1415.32,0.63247,1.77817,0.36381,0.85796,0.97497,0.979,0.985,0.76736,0.92726,0.92303,0.92026,0.49298,0.77434,2.19155,0.39003,0.84308,0.000511367,0.000511367,0.000511367
88,1431.18,0.64578,1.7858,0.36452,0.8639,0.97214,0.97439,0.9831,0.76152,0.92968,0.91894,0.91768,0.49037,0.79275,2.24935,0.39136,0.84655,0.000509011,0.000509011,0.000509011
89,1446.74,0.65087,1.79136,0.37104,0.86206,0.9744,0.97136,0.98379,0.77461,0.92449,0.91852,0.92289,0.49823,0.75969,2.20803,0.38343,0.83865,0.000506654,0.000506654,0.000506654
90,1462.51,0.64096,1.74909,0.36898,0.86038,0.9745,0.97055,0.98389,0.77224,0.93675,0.93356,0.9391,0.51029,0.75581,2.20301,0.38366,0.84109,0.000504298,0.000504298,0.000504298
91,1479.75,0.64802,1.75037,0.36941,0.86087,0.96858,0.97084,0.97992,0.76315,0.9225,0.92449,0.92257,0.49687,0.77926,2.26311,0.39654,0.84598,0.000501942,0.000501942,0.000501942
92,1495.51,0.64585,1.76084,0.36369,0.85983,0.97151,0.96091,0.9832,0.76643,0.92672,0.91531,0.92906,0.50181,0.77039,2.21533,0.39608,0.84744,0.000499586,0.000499586,0.000499586
93,1511,0.63089,1.7562,0.35528,0.86101,0.97535,0.97508,0.98398,0.77245,0.92894,0.93269,0.92951,0.50951,0.75889,2.23614,0.38046,0.83994,0.00049723,0.00049723,0.00049723
94,1526.73,0.63724,1.77655,0.35995,0.8611,0.97167,0.96642,0.98174,0.76747,0.92011,0.91558,0.91849,0.49095,0.77414,2.18908,0.39578,0.84567,0.000494873,0.000494873,0.000494873
95,1542.17,0.64422,1.79057,0.36418,0.86649,0.95916,0.97457,0.98313,0.76639,0.92638,0.9256,0.93559,0.50445,0.75875,2.24111,0.39226,0.84191,0.000492517,0.000492517,0.000492517
96,1557.97,0.63949,1.75015,0.36318,0.86025,0.96682,0.96717,0.98367,0.77362,0.92241,0.92419,0.93235,0.51659,0.74671,2.22366,0.38897,0.83929,0.000490161,0.000490161,0.000490161
97,1575.04,0.64495,1.74564,0.36751,0.86147,0.97221,0.97177,0.9845,0.77289,0.91709,0.91769,0.91629,0.50072,0.75034,2.21782,0.38804,0.83749,0.000487805,0.000487805,0.000487805
98,1590.68,0.63817,1.73934,0.36332,0.86195,0.97867,0.9699,0.98451,0.77436,0.92672,0.92045,0.92505,0.4937,0.75442,2.21283,0.37835,0.83852,0.000485449,0.000485449,0.000485449
99,1606.36,0.6194,1.72347,0.34959,0.8558,0.97704,0.97483,0.98445,0.77164,0.92644,0.92207,0.92225,0.50379,0.75596,2.21579,0.37848,0.8366,0.000483092,0.000483092,0.000483092
100,1622.19,0.62228,1.75543,0.35294,0.85931,0.95862,0.96748,0.98011,0.76643,0.91131,0.90477,0.91803,0.49168,0.76359,2.29495,0.38838,0.84281,0.000480736,0.000480736,0.000480736
101,1637.69,0.62651,1.7493,0.35182,0.86027,0.96996,0.97352,0.98378,0.77253,0.91209,0.91506,0.90619,0.48135,0.76393,2.35629,0.37644,0.84576,0.00047838,0.00047838,0.00047838
