epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3006,1.0825,3.42108,1.64345,1.03555,0.81951,0.83124,0.87259,0.59064,0.7675,0.78345,0.79198,0.33425,1.07551,2.94096,0.7875,0.98426,0.000233673,0.000233673,0.000233673
2,19.4851,0.9374,2.89774,0.73099,0.95202,0.78757,0.80869,0.8561,0.57264,0.67271,0.71493,0.71313,0.29827,1.1081,3.12623,0.85176,1.0323,0.000470116,0.000470116,0.000470116
3,28.2211,0.90468,2.77252,0.65966,0.93936,0.71543,0.85275,0.85546,0.53942,0.64025,0.76833,0.73848,0.30697,1.20271,3.22406,0.9754,1.04673,0.000704989,0.000704989,0.000704989
4,36.5689,0.90799,2.73335,0.62433,0.93873,0.80936,0.86947,0.88848,0.60735,0.72328,0.8102,0.79234,0.33939,1.00342,2.78818,0.68776,0.94184,0.000706931,0.000706931,0.000706931
5,45.2315,0.87492,2.66289,0.5989,0.93445,0.85302,0.85391,0.89682,0.59446,0.81057,0.82488,0.84439,0.36064,1.07276,2.86254,0.75306,0.95802,0.000704575,0.000704575,0.000704575
6,54.6363,0.86531,2.60339,0.56887,0.92406,0.8915,0.91229,0.9281,0.65103,0.83324,0.847,0.84667,0.38526,0.98585,2.71085,0.62378,0.92278,0.000702219,0.000702219,0.000702219
7,63.2983,0.85027,2.55377,0.55893,0.92464,0.90813,0.88052,0.92967,0.65232,0.77828,0.82476,0.79873,0.34698,0.98294,2.87457,0.58705,0.93042,0.000699863,0.000699863,0.000699863
8,71.6764,0.83774,2.56921,0.54284,0.91629,0.90542,0.91271,0.94828,0.67953,0.85099,0.82521,0.84666,0.38644,0.92301,2.66401,0.55886,0.90252,0.000697507,0.000697507,0.000697507
9,80.3466,0.82377,2.48554,0.52784,0.91375,0.94159,0.92438,0.96329,0.69475,0.89033,0.87357,0.88402,0.41816,0.9143,2.59908,0.54987,0.89895,0.00069515,0.00069515,0.00069515
10,90.1273,0.82425,2.41187,0.521,0.91221,0.93667,0.941,0.96912,0.68859,0.86284,0.87017,0.87184,0.40322,0.94039,2.58296,0.53696,0.90123,0.000692794,0.000692794,0.000692794
