epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2739,1.78667,2.87062,0.89729,0.01568,0.63153,0.01279,0.00611,1.59892,3.62753,0.86913,0.00038341,0.00038341,0.00038341
2,58.8246,1.56173,1.46075,0.87213,0.02327,0.53097,0.10715,0.05563,1.4999,3.15807,0.86531,0.000767977,0.000767977,0.000767977
3,68.7798,1.55443,1.29926,0.87172,0.50422,0.97831,0.94823,0.51179,1.40522,2.45347,0.85883,0.0011367,0.0011367,0.0011367
4,76.8672,1.51206,1.081,0.8663,0.96553,0.92815,0.98704,0.50434,1.51759,1.49708,0.87496,0.00148958,0.00148958,0.00148958
5,84.7225,1.58568,1.05765,0.86722,0.97855,0.93861,0.98417,0.56664,1.35952,1.06379,0.8568,0.00153497,0.00153497,0.00153497
6,93.3729,1.50706,0.98443,0.86535,0.9593,0.97876,0.98488,0.55245,1.36431,0.94902,0.85838,0.00150197,0.00150197,0.00150197
7,101.31,1.4667,0.90163,0.86294,0.96566,0.98003,0.98448,0.57042,1.30261,0.85429,0.85263,0.00146896,0.00146896,0.00146896
8,109.501,1.46318,0.86797,0.85914,0.96897,0.97831,0.98713,0.56123,1.3347,0.83197,0.85573,0.00143595,0.00143595,0.00143595
9,118.294,1.45458,0.84024,0.85689,0.97122,0.98354,0.98555,0.55988,1.34788,0.79671,0.8573,0.00140295,0.00140295,0.00140295
10,126.225,1.47518,0.80216,0.8617,0.98372,0.97722,0.98683,0.58892,1.29273,0.74039,0.85133,0.00136994,0.00136994,0.00136994
11,134.216,1.44925,0.78117,0.85465,0.9639,0.9846,0.98959,0.57891,1.31986,0.76359,0.85224,0.00133693,0.00133693,0.00133693
12,142.223,1.45371,0.7771,0.85741,0.97496,0.97899,0.98516,0.55793,1.3134,0.73315,0.85337,0.00130393,0.00130393,0.00130393
13,151.029,1.4259,0.74347,0.85542,0.96083,0.97777,0.98029,0.57931,1.28932,0.74819,0.84975,0.00127092,0.00127092,0.00127092
14,159.479,1.42449,0.74682,0.85553,0.97208,0.98191,0.98557,0.58434,1.29114,0.7148,0.85094,0.00123791,0.00123791,0.00123791
15,167.62,1.40527,0.72694,0.85406,0.97672,0.98384,0.98572,0.56164,1.34757,0.70857,0.85085,0.00120491,0.00120491,0.00120491
16,175.45,1.41408,0.72784,0.84995,0.97768,0.98612,0.98612,0.58528,1.27549,0.65633,0.84957,0.0011719,0.0011719,0.0011719
17,183.619,1.41595,0.6882,0.85577,0.97713,0.98005,0.9887,0.5894,1.28903,0.65537,0.8495,0.00113889,0.00113889,0.00113889
