epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.457,1.8027,1.84785,0.90635,0.7118,0.82717,0.71377,0.39851,1.46818,1.85856,0.86638,0.00054409,0.00054409,0.00054409
2,300.492,1.61186,0.9773,0.87751,0.96638,0.94438,0.976,0.55644,1.40042,1.02823,0.86985,0.00107798,0.00107798,0.00107798
3,471.954,1.61346,0.84998,0.88961,0.89782,0.8898,0.91516,0.51377,1.42109,0.93057,0.87003,0.00158987,0.00158987,0.00158987
4,607.028,1.63449,0.78103,0.87247,0.9403,0.94487,0.96038,0.54044,1.38926,0.69027,0.86714,0.00156798,0.00156798,0.00156798
5,777.481,1.63454,0.79766,0.89076,0.98342,0.97755,0.98865,0.54969,1.45385,0.70183,0.87114,0.00153497,0.00153497,0.00153497
6,888.015,1.67586,0.81149,0.87791,0.98816,0.94851,0.98253,0.54714,1.5016,0.74763,0.87516,0.00150197,0.00150197,0.00150197
7,1027.27,1.61218,0.76295,0.87518,0.94572,0.97376,0.98415,0.59417,1.38108,0.69437,0.86443,0.00146896,0.00146896,0.00146896
8,1169.71,1.57385,0.75676,0.86858,0.98524,0.98028,0.99214,0.56116,1.3907,0.67938,0.85898,0.00143595,0.00143595,0.00143595
9,5048.74,1.57862,0.76822,0.87063,0.98637,0.98622,0.99071,0.5666,1.39579,0.68633,0.8661,0.00140295,0.00140295,0.00140295
10,5210.55,1.5226,0.70563,0.86913,0.98082,0.98069,0.99091,0.56952,1.35299,0.66238,0.85761,0.00136994,0.00136994,0.00136994
