epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.71,1.8027,1.84785,0.90635,0.7118,0.82717,0.71377,0.39851,1.46818,1.85856,0.86638,0.00054409,0.00054409,0.00054409
2,320.577,1.61186,0.9773,0.87751,0.96638,0.94438,0.976,0.55644,1.40042,1.02823,0.86985,0.00107798,0.00107798,0.00107798
3,464.177,1.61346,0.84998,0.88961,0.89782,0.8898,0.91516,0.51377,1.42109,0.93057,0.87003,0.00158987,0.00158987,0.00158987
4,596.789,1.63449,0.78103,0.87247,0.9403,0.94487,0.96038,0.54044,1.38926,0.69027,0.86714,0.00156798,0.00156798,0.00156798
5,757.569,1.63454,0.79766,0.89076,0.98342,0.97755,0.98865,0.54969,1.45385,0.70183,0.87114,0.00153497,0.00153497,0.00153497
6,869.727,1.67586,0.81149,0.87791,0.98816,0.94851,0.98253,0.54714,1.5016,0.74763,0.87516,0.00150197,0.00150197,0.00150197
7,1005.31,1.61218,0.76295,0.87518,0.94572,0.97376,0.98415,0.59417,1.38108,0.69437,0.86443,0.00146896,0.00146896,0.00146896
8,1139.01,1.57385,0.75676,0.86858,0.98524,0.98028,0.99214,0.56116,1.3907,0.67938,0.85898,0.00143595,0.00143595,0.00143595
9,1229.87,1.57862,0.76822,0.87063,0.98637,0.98622,0.99071,0.5666,1.39579,0.68633,0.8661,0.00140295,0.00140295,0.00140295
10,1363.04,1.5226,0.70563,0.86913,0.98082,0.98069,0.99091,0.56952,1.35299,0.66238,0.85761,0.00136994,0.00136994,0.00136994
11,1487.44,1.56625,0.71679,0.87936,0.99017,0.9728,0.98961,0.55475,1.50777,0.70056,0.86722,0.00133693,0.00133693,0.00133693
12,1647.54,1.52216,0.70695,0.87727,0.98635,0.98638,0.99042,0.57545,1.36641,0.66337,0.85591,0.00130393,0.00130393,0.00130393
13,1779.94,1.54577,0.69293,0.8592,0.97324,0.97213,0.98902,0.59239,1.30139,0.65905,0.85323,0.00127092,0.00127092,0.00127092
14,1876.94,1.47687,0.68716,0.84717,0.98277,0.97994,0.99288,0.59401,1.32504,0.62259,0.85623,0.00123791,0.00123791,0.00123791
15,1976.18,1.44875,0.64493,0.85186,0.98829,0.98124,0.98895,0.59794,1.30152,0.63664,0.8532,0.00120491,0.00120491,0.00120491
16,2115.28,1.43998,0.66153,0.85956,0.98261,0.96909,0.98063,0.60152,1.31086,0.62082,0.85306,0.0011719,0.0011719,0.0011719
17,2268.21,1.47685,0.6477,0.86296,0.98826,0.97973,0.98718,0.59617,1.27689,0.62608,0.84921,0.00113889,0.00113889,0.00113889
18,2385.06,1.51,0.67,0.86568,0.98537,0.98398,0.99003,0.55846,1.36872,0.65709,0.85617,0.00110589,0.00110589,0.00110589
19,2512.71,1.45947,0.65926,0.85662,0.98574,0.98069,0.9909,0.59792,1.26938,0.60731,0.85182,0.00107288,0.00107288,0.00107288
20,2656.24,1.44793,0.6319,0.86356,0.97817,0.9817,0.99099,0.58201,1.29629,0.6026,0.85457,0.00103987,0.00103987,0.00103987
21,2716.27,1.44346,0.63058,0.84775,0.98681,0.98312,0.99189,0.58204,1.29841,0.60683,0.85139,0.00100687,0.00100687,0.00100687
22,2862.18,1.40131,0.62239,0.8504,0.97582,0.98399,0.98685,0.59589,1.27192,0.59504,0.84741,0.000973861,0.000973861,0.000973861
23,3032.55,1.41487,0.61794,0.86417,0.98395,0.97853,0.98755,0.6061,1.25998,0.59055,0.84805,0.000940855,0.000940855,0.000940855
24,3191.91,1.40557,0.62373,0.85869,0.98013,0.98838,0.99078,0.58078,1.28597,0.58962,0.85317,0.000907848,0.000907848,0.000907848
25,3295.58,1.46597,0.63073,0.8479,0.98747,0.97763,0.99136,0.57285,1.35178,0.62081,0.85428,0.000874842,0.000874842,0.000874842
26,3427.53,1.45176,0.62573,0.85931,0.98447,0.97301,0.98862,0.59136,1.30388,0.62991,0.84998,0.000841835,0.000841835,0.000841835
27,3532.54,1.38854,0.62263,0.85381,0.98632,0.98609,0.98843,0.59534,1.28346,0.60282,0.85261,0.000808828,0.000808828,0.000808828
28,3672.2,1.41681,0.60843,0.8539,0.98677,0.97527,0.99007,0.61278,1.24146,0.56872,0.8475,0.000775822,0.000775822,0.000775822
29,3785.62,1.40099,0.58913,0.85842,0.9863,0.9906,0.99139,0.60196,1.22844,0.57356,0.84388,0.000742815,0.000742815,0.000742815
30,3907.03,1.38326,0.59261,0.84122,0.99073,0.98582,0.99289,0.60127,1.23487,0.57806,0.84406,0.000709809,0.000709809,0.000709809
31,4065.51,1.38502,0.59273,0.84587,0.98917,0.98726,0.99286,0.61037,1.22811,0.56964,0.84381,0.000676802,0.000676802,0.000676802
32,4221.78,1.35789,0.59179,0.83697,0.98905,0.97899,0.99246,0.62836,1.19427,0.56546,0.84131,0.000643795,0.000643795,0.000643795
33,4321.59,1.37591,0.59647,0.84363,0.98319,0.98449,0.99215,0.60918,1.22978,0.58004,0.84399,0.000610789,0.000610789,0.000610789
34,4435.04,1.38638,0.59186,0.83895,0.98933,0.98928,0.99214,0.61005,1.21946,0.56985,0.8431,0.000577782,0.000577782,0.000577782
35,4597.95,1.35615,0.5852,0.84096,0.98815,0.99173,0.99095,0.61107,1.23944,0.5662,0.84349,0.000544776,0.000544776,0.000544776
36,4724.66,1.3458,0.56991,0.85371,0.98825,0.98148,0.99161,0.61841,1.1996,0.55755,0.84116,0.000511769,0.000511769,0.000511769
37,4844.32,1.32175,0.56367,0.83366,0.99147,0.97918,0.99124,0.62899,1.17926,0.55711,0.83842,0.000478762,0.000478762,0.000478762
38,5027.21,1.32778,0.56158,0.84726,0.98755,0.98425,0.99031,0.63241,1.17571,0.55809,0.84151,0.000445756,0.000445756,0.000445756
39,5205.07,1.30738,0.56944,0.8503,0.98767,0.98889,0.98869,0.63243,1.18243,0.54938,0.83849,0.000412749,0.000412749,0.000412749
40,5304.96,1.32961,0.55599,0.8415,0.98593,0.98905,0.99056,0.61616,1.20438,0.53723,0.84247,0.000379743,0.000379743,0.000379743
41,5421.72,1.29493,0.55505,0.85216,0.98303,0.97814,0.98839,0.62326,1.20589,0.5434,0.84066,0.000346736,0.000346736,0.000346736
42,5555.36,1.31934,0.55752,0.8413,0.98137,0.9713,0.98806,0.6043,1.28097,0.56546,0.84618,0.000313729,0.000313729,0.000313729
43,5663.98,1.29397,0.55357,0.84298,0.98118,0.98034,0.98863,0.62072,1.18483,0.53088,0.83814,0.000280723,0.000280723,0.000280723
44,5762.78,1.25522,0.53489,0.85281,0.98694,0.98835,0.98737,0.61574,1.18037,0.5266,0.83942,0.000247716,0.000247716,0.000247716
45,5907,1.27283,0.53612,0.85089,0.98751,0.9826,0.98835,0.62577,1.16983,0.52561,0.8393,0.00021471,0.00021471,0.00021471
46,6023.25,1.27124,0.53498,0.84098,0.98713,0.98363,0.98942,0.63115,1.18441,0.53564,0.83913,0.000181703,0.000181703,0.000181703
47,6168.11,1.27539,0.53307,0.85437,0.98195,0.98844,0.98871,0.62686,1.1793,0.53035,0.83978,0.000148696,0.000148696,0.000148696
48,6316.82,1.25596,0.5292,0.84408,0.9811,0.98604,0.9823,0.63445,1.17074,0.52014,0.83798,0.00011569,0.00011569,0.00011569
