epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.063,1.69904,2.63626,1.35295,0.01348,0.58736,0.05836,0.03924,1.36995,3.26245,1.10815,0.000543319,0.000543319,0.000543319
2,273.663,1.53904,1.74988,1.25087,0.09801,0.26132,0.07909,0.03886,1.52215,2.82815,1.32221,0.00108448,0.00108448,0.00108448
3,418.657,1.63219,1.78216,1.32604,0.05477,0.50922,0.05329,0.02951,1.50403,18.076,1.51068,0.00161097,0.00161097,0.00161097
4,530.753,1.61655,1.72314,1.32133,0.60319,0.7396,0.58838,0.353,1.42143,2.24596,1.19012,0.00160099,0.00160099,0.00160099
5,634.673,1.56264,1.621,1.27964,0.68114,0.8002,0.71534,0.40697,1.43025,1.48023,1.14985,0.00157898,0.00157898,0.00157898
6,744.481,1.57179,1.64264,1.31518,0.73,0.7279,0.70809,0.42002,1.37297,1.35325,1.13812,0.00155698,0.00155698,0.00155698
7,876.426,1.50142,1.56265,1.26657,0.78257,0.77238,0.7867,0.45366,1.37295,1.26985,1.17471,0.00153497,0.00153497,0.00153497
8,987.668,1.45236,1.44697,1.23356,0.74821,0.77979,0.70003,0.41667,1.39926,1.37667,1.1584,0.00151297,0.00151297,0.00151297
9,1125.17,1.4518,1.39674,1.22349,0.59115,0.75178,0.61052,0.35768,1.37106,1.47318,1.11421,0.00149096,0.00149096,0.00149096
10,1242.37,1.42105,1.38046,1.23739,0.69321,0.77732,0.70707,0.43877,1.32653,1.30205,1.10616,0.00146896,0.00146896,0.00146896
11,1326.76,1.46864,1.40463,1.2625,0.78489,0.81223,0.81244,0.50138,1.29072,1.28455,1.10612,0.00144696,0.00144696,0.00144696
12,1446.74,1.41037,1.37815,1.24348,0.73757,0.75584,0.74558,0.44172,1.37604,1.36919,1.13923,0.00142495,0.00142495,0.00142495
13,1592.43,1.45142,1.36643,1.22455,0.77325,0.81031,0.80523,0.4781,1.30211,1.16198,1.10604,0.00140295,0.00140295,0.00140295
14,1666.51,1.41745,1.36221,1.22546,0.7586,0.77818,0.81137,0.46319,1.33772,1.10443,1.15488,0.00138094,0.00138094,0.00138094
15,1785.39,1.37533,1.26929,1.20649,0.80128,0.80004,0.83305,0.50412,1.33502,1.0778,1.16256,0.00135894,0.00135894,0.00135894
16,1876.27,1.35646,1.24711,1.20988,0.78339,0.80241,0.80021,0.484,1.336,1.03468,1.11291,0.00133693,0.00133693,0.00133693
17,1981.37,1.37226,1.2483,1.19898,0.81453,0.78531,0.82883,0.50702,1.31145,1.12796,1.12069,0.00131493,0.00131493,0.00131493
18,2066.82,1.38188,1.25461,1.21401,0.74546,0.82075,0.80101,0.50344,1.26768,1.08886,1.10955,0.00129293,0.00129293,0.00129293
19,2197.07,1.35315,1.18311,1.17672,0.75793,0.81932,0.80846,0.5057,1.27642,0.97456,1.10241,0.00127092,0.00127092,0.00127092
20,2299.83,1.30082,1.19257,1.20206,0.75818,0.83093,0.81088,0.50299,1.23474,1.02542,1.09244,0.00124892,0.00124892,0.00124892
21,2414.11,1.35894,1.22021,1.20378,0.7963,0.81155,0.83582,0.52718,1.19598,1.00181,1.05731,0.00122691,0.00122691,0.00122691
22,2510.05,1.31855,1.18665,1.173,0.76395,0.81736,0.83404,0.53085,1.24503,1.0067,1.09656,0.00120491,0.00120491,0.00120491
23,2594.58,1.28827,1.12508,1.15515,0.77229,0.83631,0.82124,0.53291,1.22907,1.03996,1.11201,0.0011829,0.0011829,0.0011829
24,2709.63,1.28023,1.0717,1.1336,0.84345,0.76796,0.8568,0.54959,1.20387,0.91209,1.09477,0.0011609,0.0011609,0.0011609
25,2834.77,1.3209,1.16709,1.19345,0.82485,0.76066,0.84262,0.52747,1.28196,0.97902,1.11327,0.00113889,0.00113889,0.00113889
26,2937.95,1.27826,1.17673,1.17886,0.8087,0.78157,0.8579,0.53981,1.23305,0.96557,1.12446,0.00111689,0.00111689,0.00111689
27,3040.94,1.25782,1.12272,1.18425,0.81628,0.76812,0.85617,0.55422,1.2003,0.91559,1.0922,0.00109489,0.00109489,0.00109489
28,3136.64,1.25459,1.08383,1.16071,0.81495,0.77445,0.8554,0.54161,1.26567,0.91799,1.08837,0.00107288,0.00107288,0.00107288
29,3242.48,1.29151,1.09017,1.1435,0.80952,0.80445,0.86153,0.54854,1.27186,1.00583,1.11175,0.00105088,0.00105088,0.00105088
30,3378.48,1.24987,1.04706,1.14666,0.76068,0.80483,0.83069,0.52089,1.24727,1.01108,1.11107,0.00102887,0.00102887,0.00102887
31,3508.34,1.28835,1.08152,1.16269,0.82916,0.77288,0.852,0.55658,1.17703,0.9053,1.06378,0.00100687,0.00100687,0.00100687
32,3622.45,1.30301,1.10248,1.17077,0.76112,0.83545,0.8637,0.56051,1.184,0.89415,1.08569,0.000984864,0.000984864,0.000984864
33,3740.58,1.1835,1.02364,1.13192,0.76779,0.82411,0.8251,0.53936,1.14203,0.89369,1.05655,0.000962859,0.000962859,0.000962859
34,3857.77,1.21396,1.04809,1.14584,0.81389,0.80696,0.86765,0.56116,1.18443,0.88119,1.0538,0.000940855,0.000940855,0.000940855
35,3967.58,1.27588,1.07099,1.1595,0.71969,0.81065,0.79581,0.51221,1.24842,0.98023,1.11377,0.00091885,0.00091885,0.00091885
36,4098.06,1.24728,1.05501,1.15133,0.76323,0.86117,0.86045,0.56673,1.19767,0.87344,1.09753,0.000896846,0.000896846,0.000896846
37,4194.17,1.21335,1.03475,1.14041,0.76884,0.84822,0.87914,0.55166,1.20741,0.90603,1.08204,0.000874842,0.000874842,0.000874842
38,4302.61,1.2064,1.01792,1.12732,0.77865,0.86929,0.89356,0.55474,1.18193,0.87267,1.08685,0.000852837,0.000852837,0.000852837
39,4456.27,1.21118,1.01923,1.13747,0.73674,0.87311,0.86651,0.57817,1.18785,0.87506,1.08722,0.000830833,0.000830833,0.000830833
40,4550.33,1.16762,0.98957,1.1165,0.80694,0.82361,0.87433,0.56114,1.20146,0.89937,1.07559,0.000808828,0.000808828,0.000808828
41,4686.36,1.25921,1.03742,1.14025,0.78922,0.85155,0.87206,0.56924,1.19209,0.87751,1.06737,0.000786824,0.000786824,0.000786824
42,4803.46,1.19252,0.98499,1.1137,0.80052,0.83146,0.86714,0.55664,1.17231,0.90541,1.07852,0.00076482,0.00076482,0.00076482
43,4883.67,1.23238,1.03057,1.1574,0.7693,0.84019,0.85429,0.56559,1.17176,0.86232,1.05811,0.000742815,0.000742815,0.000742815
44,4959.93,1.18099,0.9826,1.10565,0.72619,0.84944,0.82569,0.54546,1.1459,0.93531,1.05638,0.000720811,0.000720811,0.000720811
45,5056.18,1.16116,0.99955,1.11656,0.75459,0.86064,0.85206,0.53472,1.17336,0.9296,1.06966,0.000698806,0.000698806,0.000698806
46,5172.63,1.17195,0.99007,1.10485,0.73553,0.89332,0.85749,0.56106,1.16101,0.85148,1.06569,0.000676802,0.000676802,0.000676802
47,5262.4,1.16445,0.95469,1.10251,0.77538,0.8622,0.88124,0.57533,1.15688,0.82891,1.06743,0.000654798,0.000654798,0.000654798
48,5406.88,1.18837,0.9306,1.09815,0.77099,0.87359,0.87691,0.57744,1.15472,0.82647,1.07329,0.000632793,0.000632793,0.000632793
49,5509.66,1.14054,0.95862,1.101,0.76148,0.79792,0.81685,0.54005,1.18181,0.93725,1.09214,0.000610789,0.000610789,0.000610789
50,5694.1,1.14133,0.92591,1.08355,0.77032,0.86955,0.89545,0.58715,1.12372,0.79247,1.05208,0.000588784,0.000588784,0.000588784
51,5800.14,1.13395,0.96473,1.10748,0.73819,0.87683,0.86434,0.57888,1.10122,0.86896,1.06056,0.00056678,0.00056678,0.00056678
52,5878.21,1.15777,0.95294,1.0963,0.75183,0.88482,0.86833,0.58483,1.08449,0.81635,1.05216,0.000544776,0.000544776,0.000544776
53,5965.96,1.13884,0.94627,1.08735,0.75334,0.87273,0.86324,0.5811,1.08853,0.81301,1.06842,0.000522771,0.000522771,0.000522771
54,6059.86,1.13818,0.95014,1.1101,0.75864,0.87239,0.87594,0.5887,1.09129,0.81618,1.04806,0.000500767,0.000500767,0.000500767
55,6106.04,1.13441,0.92282,1.08758,0.7863,0.86008,0.86746,0.5786,1.13037,0.83016,1.04814,0.000478762,0.000478762,0.000478762
56,6179.53,1.12435,0.92629,1.08264,0.75877,0.86052,0.87731,0.58808,1.1103,0.81063,1.04576,0.000456758,0.000456758,0.000456758
57,6312.42,1.11869,0.87864,1.05928,0.75721,0.8947,0.87143,0.58624,1.09875,0.82048,1.06248,0.000434754,0.000434754,0.000434754
58,6395.57,1.07959,0.88135,1.05514,0.75682,0.87303,0.86741,0.58423,1.10413,0.807,1.06035,0.000412749,0.000412749,0.000412749
59,6536.4,1.12017,0.89431,1.06701,0.84732,0.77438,0.8831,0.58542,1.11719,0.80958,1.05675,0.000390745,0.000390745,0.000390745
60,6657.55,1.11381,0.89254,1.07256,0.78087,0.89506,0.88749,0.58702,1.10733,0.78211,1.05233,0.00036874,0.00036874,0.00036874
61,6769.09,1.09709,0.94504,1.10061,0.76972,0.90135,0.87973,0.58927,1.10054,0.8019,1.05955,0.000346736,0.000346736,0.000346736
62,6876.4,1.08809,0.91311,1.08564,0.74287,0.90251,0.87667,0.59496,1.08984,0.80424,1.05582,0.000324732,0.000324732,0.000324732
63,6986.71,1.05447,0.84366,1.05292,0.7517,0.87599,0.87581,0.59412,1.09124,0.79363,1.06031,0.000302727,0.000302727,0.000302727
64,7104.86,1.12199,0.89084,1.06891,0.77379,0.89564,0.88957,0.60357,1.0747,0.76359,1.04463,0.000280723,0.000280723,0.000280723
65,7308.06,1.07282,0.85177,1.05545,0.78064,0.87701,0.88891,0.60448,1.09121,0.76357,1.0407,0.000258718,0.000258718,0.000258718
66,7472.49,1.06918,0.7748,1.00002,0.7364,0.89091,0.8687,0.59283,1.08501,0.7739,1.03661,0.000236714,0.000236714,0.000236714
67,7558.04,1.03543,0.76005,0.98654,0.76804,0.87664,0.87806,0.59822,1.09328,0.77292,1.04793,0.00021471,0.00021471,0.00021471
68,7654.8,1.04895,0.73616,0.99245,0.78912,0.88914,0.89307,0.60958,1.08096,0.75701,1.06349,0.000192705,0.000192705,0.000192705
69,7741.89,1.05003,0.72725,0.98797,0.78311,0.88175,0.88893,0.61308,1.06573,0.74712,1.05037,0.000170701,0.000170701,0.000170701
70,7866.29,1.05554,0.72426,0.9941,0.75833,0.90709,0.88213,0.60937,1.05921,0.78174,1.05684,0.000148696,0.000148696,0.000148696
71,7984.81,1.02912,0.721,0.977,0.77115,0.88001,0.88725,0.61235,1.06783,0.7549,1.05659,0.000126692,0.000126692,0.000126692
