epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.299,1.67484,2.06587,1.38057,0.57637,0.79999,0.58189,0.35501,1.43063,2.77033,1.23167,0.000549493,0.000549493,0.000549493
2,561.186,1.60588,1.66531,1.31463,0.72214,0.69154,0.70106,0.35647,1.49942,1.66185,1.24807,0.00109969,0.00109969,0.00109969
3,808.303,1.65507,1.61268,1.40004,0.51747,0.61331,0.46222,0.27379,1.52845,1.9298,1.39106,0.00164438,0.00164438,0.00164438
4,1026.31,1.57386,1.53712,1.32428,0.69042,0.71388,0.64233,0.35462,1.6065,2.00287,1.3946,0.00164225,0.00164225,0.00164225
5,1271.5,1.55562,1.47316,1.32837,0.77629,0.77564,0.75166,0.44641,1.4542,1.29673,1.2132,0.00163399,0.00163399,0.00163399
6,1462.73,1.54232,1.44406,1.28917,0.78531,0.76257,0.77436,0.46277,1.41751,1.24929,1.19605,0.00162574,0.00162574,0.00162574
7,1680.77,1.50865,1.45106,1.2782,0.75056,0.76002,0.71953,0.43382,1.42004,1.32001,1.20816,0.00161749,0.00161749,0.00161749
8,1923.08,1.52209,1.47555,1.35191,0.77481,0.77869,0.81322,0.4796,1.391,1.21241,1.20024,0.00160924,0.00160924,0.00160924
9,2150.03,1.44013,1.32658,1.2293,0.76291,0.81186,0.76837,0.47178,1.37859,1.19023,1.20536,0.00160099,0.00160099,0.00160099
10,2436.06,1.52955,1.37391,1.32316,0.7498,0.78127,0.78924,0.4811,1.38357,1.10727,1.17457,0.00159274,0.00159274,0.00159274
11,2638.47,1.49506,1.32485,1.25584,0.75857,0.78351,0.7737,0.4798,1.36212,1.16241,1.17145,0.00158448,0.00158448,0.00158448
12,2814.98,1.45423,1.30133,1.25221,0.80128,0.78725,0.81611,0.51557,1.32703,1.07435,1.14801,0.00157623,0.00157623,0.00157623
13,3003.49,1.41072,1.27137,1.23352,0.76955,0.82326,0.79532,0.49267,1.37486,1.14738,1.17512,0.00156798,0.00156798,0.00156798
14,3249.72,1.4511,1.28871,1.24696,0.79446,0.77562,0.81655,0.50543,1.37613,1.11706,1.18073,0.00155973,0.00155973,0.00155973
15,3507.72,1.41599,1.24216,1.25573,0.80048,0.79855,0.77308,0.43641,1.42803,1.1565,1.18293,0.00155148,0.00155148,0.00155148
16,3766.39,1.36331,1.21768,1.22454,0.77773,0.77115,0.7962,0.49887,1.32963,1.162,1.15,0.00154323,0.00154323,0.00154323
