epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.223,2.67472,4.89987,1.8201,0.18088,0.34184,0.16025,0.08119,2.14177,4.23821,1.47525,4.998e-05,4.998e-05,4.998e-05
2,12.9845,2.42321,3.17927,1.71849,0.21851,0.43306,0.31213,0.17959,2.00212,5.4713,1.36809,0.000107754,0.000107754,0.000107754
3,18.0984,2.09563,2.31281,1.4357,0.50718,0.46974,0.4865,0.22528,1.95098,4.817,1.30888,0.000164951,0.000164951,0.000164951
4,22.9498,1.93198,2.00407,1.31278,0.47166,0.60264,0.53529,0.27514,1.84002,2.62939,1.24641,0.00022157,0.00022157,0.00022157
5,27.801,1.86645,1.91925,1.31808,0.64057,0.58452,0.56382,0.27451,1.92001,2.64641,1.25443,0.000277612,0.000277612,0.000277612
6,56.1122,1.74988,1.80539,1.24089,0.63264,0.61907,0.56683,0.27044,1.88843,1.8329,1.2318,0.000333077,0.000333077,0.000333077
7,59.8546,1.71063,1.63739,1.21235,0.6166,0.72293,0.58408,0.27849,1.80872,1.96529,1.20157,0.000387965,0.000387965,0.000387965
8,64.714,1.64675,1.6534,1.20245,0.62747,0.57304,0.56831,0.2794,1.86561,1.89043,1.19148,0.000442275,0.000442275,0.000442275
9,68.8278,1.6466,1.52535,1.1789,0.61569,0.56306,0.57408,0.27768,1.93075,1.66952,1.23249,0.000496008,0.000496008,0.000496008
10,72.4977,1.62794,1.46769,1.17761,0.60185,0.62932,0.55689,0.26797,2.00514,1.61585,1.29564,0.000549164,0.000549164,0.000549164
11,76.4994,1.60986,1.52164,1.17995,0.53919,0.63841,0.56446,0.28931,1.93756,1.71758,1.26954,0.000601743,0.000601743,0.000601743
12,81.2913,1.58606,1.44833,1.13765,0.61536,0.7064,0.63922,0.31099,1.95345,1.56203,1.25027,0.000653744,0.000653744,0.000653744
13,86.2165,1.52474,1.38037,1.13234,0.55662,0.71885,0.63691,0.33166,1.79907,1.42722,1.17489,0.000705168,0.000705168,0.000705168
14,91.6619,1.6084,1.39604,1.15603,0.55662,0.71885,0.63691,0.33166,1.79907,1.42722,1.17489,0.000756015,0.000756015,0.000756015
15,96.4977,1.55106,1.28737,1.14611,0.61789,0.6359,0.63857,0.30537,1.91067,1.56432,1.21873,0.000775273,0.000775273,0.000775273
16,100.213,1.46349,1.27248,1.09789,0.61855,0.6851,0.67265,0.33787,1.84881,1.52575,1.19403,0.00077115,0.00077115,0.00077115
17,104.942,1.48782,1.25127,1.15384,0.67414,0.66967,0.68408,0.34818,1.81693,1.52819,1.17497,0.000767026,0.000767026,0.000767026
18,109.808,1.51849,1.29439,1.11489,0.58918,0.6773,0.7113,0.37018,1.77733,1.44839,1.16191,0.000762903,0.000762903,0.000762903
19,114.294,1.42761,1.20899,1.10242,0.81697,0.5542,0.75568,0.37912,1.79268,1.3027,1.15958,0.00075878,0.00075878,0.00075878
20,120.078,1.43592,1.21042,1.12149,0.74474,0.65171,0.74993,0.37646,1.75124,1.26692,1.16267,0.000754656,0.000754656,0.000754656
21,125.541,1.41408,1.1629,1.10948,0.67165,0.76473,0.79618,0.39048,1.73634,1.24262,1.16584,0.000750533,0.000750533,0.000750533
22,130.141,1.45253,1.18859,1.08907,0.67165,0.76473,0.79618,0.39048,1.73634,1.24262,1.16584,0.00074641,0.00074641,0.00074641
23,134.642,1.42567,1.16154,1.09177,0.75522,0.68186,0.76063,0.37771,1.7995,1.32029,1.18857,0.000742286,0.000742286,0.000742286
24,138.459,1.43933,1.13927,1.10352,0.69363,0.72064,0.77997,0.40552,1.7601,1.23778,1.15813,0.000738163,0.000738163,0.000738163
25,145.285,1.4234,1.13312,1.07276,0.72213,0.72814,0.76746,0.42747,1.6773,1.10898,1.13943,0.00073404,0.00073404,0.00073404
26,152.724,1.40049,1.13776,1.08502,0.68809,0.76703,0.76688,0.42823,1.6603,1.11628,1.14291,0.000729916,0.000729916,0.000729916
27,157.485,1.39922,1.06335,1.09552,0.63973,0.75046,0.81621,0.44099,1.63984,1.12145,1.14618,0.000725793,0.000725793,0.000725793
28,163.607,1.41984,1.11578,1.10877,0.73849,0.77412,0.85295,0.46557,1.61643,1.06071,1.13336,0.00072167,0.00072167,0.00072167
29,168.297,1.32538,0.99403,1.04974,0.75403,0.74459,0.77682,0.42474,1.67815,1.04677,1.14826,0.000717546,0.000717546,0.000717546
30,172.112,1.33031,0.99054,1.08639,0.75403,0.74459,0.77682,0.42474,1.67815,1.04677,1.14826,0.000713423,0.000713423,0.000713423
31,175.627,1.34169,0.93812,1.0286,0.67107,0.76459,0.73998,0.39933,1.6972,1.07023,1.16509,0.000709299,0.000709299,0.000709299
32,179.487,1.34815,0.98239,1.0492,0.65745,0.79069,0.79431,0.4031,1.72965,1.05737,1.16529,0.000705176,0.000705176,0.000705176
