epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1213,2.60494,4.79075,5.10482,1.64769,0.80255,0.14583,0.07446,0.01755,0.72458,0.09722,0.03025,0.00541,3.24792,4.68245,3.72859,2.05963,2.499e-05,2.499e-05,2.499e-05
2,34.5813,2.1605,4.29793,3.30229,1.53701,0.39768,0.25751,0.08458,0.0203,0.38283,0.22917,0.04446,0.00828,2.51522,4.62852,15.3407,1.61157,5.80214e-05,5.80214e-05,5.80214e-05
3,41.7058,1.92615,4.0395,2.57092,1.38687,0.43928,0.15972,0.12153,0.0518,0.40241,0.25,0.07884,0.01383,2.04452,4.37039,31.8285,1.38778,9.07229e-05,9.07229e-05,9.07229e-05
4,48.2478,1.61485,3.8047,2.04367,1.23233,0.55546,0.29861,0.27718,0.0908,0.46109,0.17361,0.14903,0.03697,2.40882,4.45668,32.7006,1.29147,0.000123094,0.000123094,0.000123094
5,54.3135,1.50536,3.5071,1.62301,1.13897,0.21639,0.80556,0.36501,0.10978,0.14766,0.5111,0.1513,0.05322,2.56948,4.84094,13.2524,1.52555,0.000155136,0.000155136,0.000155136
6,59.6885,1.54024,3.42325,1.54523,1.11241,0.56889,0.84722,0.70202,0.29669,0.30593,0.61806,0.36594,0.15506,2.2217,4.9808,10.8432,1.40531,0.000186848,0.000186848,0.000186848
7,65.9623,1.51074,3.28988,1.44462,1.10315,0.45262,0.95979,0.8817,0.42549,0.40175,0.74009,0.58696,0.1886,1.5458,5.16576,4.72198,1.14228,0.00021823,0.00021823,0.00021823
8,70.6119,1.48023,3.30849,1.40358,1.10195,0.73119,0.66667,0.82756,0.40417,0.2462,0.76389,0.49271,0.1297,1.39504,5.20058,6.07715,1.10034,0.000249282,0.000249282,0.000249282
9,75.3781,1.45025,3.26455,1.28277,1.08402,0.34985,1,0.71017,0.34865,0.26627,0.76389,0.37224,0.115,1.45874,4.94673,6.53886,1.1103,0.000280005,0.000280005,0.000280005
10,78.9723,1.41956,3.1288,1.23474,1.08962,0.52805,0.94021,0.71673,0.37531,0.42926,0.81944,0.5122,0.15427,1.72341,4.44136,5.3128,1.15709,0.000310397,0.000310397,0.000310397
11,83.3946,1.40324,3.07126,1.22819,1.10937,0.56314,0.91969,0.7554,0.4017,0.50837,0.81648,0.62607,0.16455,1.93724,4.3282,4.7939,1.22342,0.00034046,0.00034046,0.00034046
12,87.7897,1.36874,3.00322,1.15679,1.09429,0.6098,0.94641,0.84441,0.49192,0.5875,0.79322,0.6762,0.17983,1.68844,4.50116,4.64958,1.18762,0.000370192,0.000370192,0.000370192
13,93.144,1.40623,2.93059,1.10271,1.06563,0.74231,0.98149,0.87897,0.51265,0.67787,0.89163,0.77505,0.22806,1.61466,4.32507,4.4101,1.13857,0.000399595,0.000399595,0.000399595
