epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5298,2.56142,4.90809,5.16081,1.61324,0.74404,0.04167,0.03035,0.01261,0.73303,0.04167,0.02166,0.00318,3.3482,4.68693,3.75274,2.06401,2.499e-05,2.499e-05,2.499e-05
2,21.9161,2.19923,4.46655,3.31455,1.54544,0.40638,0.19444,0.09513,0.0243,0.38899,0.15278,0.05795,0.01082,2.57103,4.64073,16.305,1.59124,5.80214e-05,5.80214e-05,5.80214e-05
3,28.51,1.9194,4.21101,2.56329,1.40442,0.40535,0.20833,0.08913,0.03371,0.40509,0.22222,0.07271,0.01315,2.0959,4.51022,33.0483,1.36211,9.07229e-05,9.07229e-05,9.07229e-05
4,33.6353,1.69447,4.03589,2.12276,1.28771,0.52197,0.29861,0.28107,0.09468,0.43974,0.18563,0.1046,0.02236,2.18876,4.38669,31.3887,1.33028,0.000123094,0.000123094,0.000123094
5,39.7576,1.56102,3.7908,1.66389,1.17518,0.17693,0.88889,0.33695,0.11045,0.12177,0.60417,0.18689,0.03495,2.37804,4.50712,11.1983,1.3462,0.000155136,0.000155136,0.000155136
6,44.7166,1.65381,3.76212,1.6281,1.15892,0.31292,0.96528,0.49317,0.16428,0.25818,0.77756,0.31168,0.0764,2.36616,4.66329,8.35262,1.34436,0.000186848,0.000186848,0.000186848
7,56.6239,1.58031,3.63595,1.46757,1.13761,0.63209,0.55363,0.75143,0.29568,0.15452,0.84028,0.3544,0.13299,2.08105,5.02099,5.32421,1.24057,0.00021823,0.00021823,0.00021823
8,63.0409,1.57288,3.71641,1.44445,1.12729,0.7399,0.63889,0.73494,0.31064,0.11113,0.66667,0.24964,0.09395,1.68331,5.30497,5.31809,1.14534,0.000249282,0.000249282,0.000249282
9,67.8232,1.49374,3.58375,1.2863,1.10629,0.80427,0.66667,0.72353,0.29286,0.49715,0.28472,0.30573,0.09819,1.61356,5.34768,4.40729,1.11315,0.000280005,0.000280005,0.000280005
10,72.0995,1.44952,3.49586,1.20061,1.09992,0.79003,0.66667,0.72877,0.33224,0.33613,0.65972,0.49627,0.10978,1.52997,5.04844,3.17814,1.09418,0.000310397,0.000310397,0.000310397
