epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1372,2.07434,4.39847,3.48052,1.41321,0.9465,0.39808,0.5341,0.32484,0.87895,0.36561,0.47652,0.21587,1.85848,3.95592,2.41887,1.01749,6.664e-05,6.664e-05,6.664e-05
2,43.0749,1.59112,3.41115,1.29548,1.11895,0.83261,0.62198,0.66358,0.39101,0.80195,0.58003,0.60067,0.26082,1.70544,3.83376,5.37551,1.03809,0.000140909,0.000140909,0.000140909
3,64.9002,1.54237,3.25365,1.04272,1.10934,0.71861,0.77588,0.73942,0.40473,0.70793,0.73358,0.70023,0.26993,1.72654,3.61377,3.91325,1.04671,0.000214436,0.000214436,0.000214436
4,86.792,1.4843,3.16032,0.99365,1.10394,0.68112,0.79205,0.76085,0.43524,0.71295,0.7078,0.72733,0.28163,1.8036,3.58065,1.86273,1.06989,0.00028722,0.00028722,0.00028722
5,108.546,1.5059,3.12167,0.98337,1.10438,0.77151,0.72412,0.73575,0.40696,0.7385,0.66305,0.6891,0.26994,1.74456,4.00274,3.33753,1.04506,0.000359263,0.000359263,0.000359263
6,126.206,1.45584,3.05212,0.94003,1.10191,0.74977,0.77591,0.79163,0.46864,0.69308,0.71897,0.7251,0.28722,1.70573,4.42463,2.97162,1.06754,0.000430563,0.000430563,0.000430563
7,147.88,1.42829,3.03358,0.8693,1.06745,0.75024,0.79891,0.73962,0.43135,0.69467,0.70695,0.65849,0.26634,1.79654,4.21152,3.26449,1.07967,0.000501121,0.000501121,0.000501121
8,165.708,1.46643,3.0847,0.90279,1.09388,0.6523,0.80865,0.64688,0.36054,0.6083,0.73953,0.57971,0.21116,1.7869,4.15567,2.94537,1.16008,0.000570937,0.000570937,0.000570937
9,183.65,1.46746,2.99409,0.89076,1.09577,0.58456,0.70959,0.58295,0.35707,0.55824,0.65859,0.548,0.22745,1.7164,4.20718,3.45291,1.12823,0.000640011,0.000640011,0.000640011
10,201.67,1.43833,2.94026,0.89426,1.08323,0.78372,0.82971,0.78324,0.43174,0.72253,0.74643,0.68009,0.2537,1.72337,4.67705,2.01259,1.13132,0.000708342,0.000708342,0.000708342
11,219.435,1.46222,2.89009,1.00666,1.10582,0.63737,0.76388,0.68914,0.34656,0.59656,0.69406,0.61066,0.21376,1.91318,4.73084,3.30186,1.18752,0.000775931,0.000775931,0.000775931
12,236.364,1.40184,2.8826,0.89939,1.07908,0.81444,0.84113,0.84905,0.46235,0.73712,0.75996,0.70413,0.27939,1.73166,4.08507,1.96392,1.10815,0.000787643,0.000787643,0.000787643
13,254.048,1.40884,2.85892,0.89193,1.07613,0.69613,0.75879,0.74811,0.41242,0.67367,0.71436,0.68323,0.25779,1.83065,4.52057,2.29777,1.1279,0.00078352,0.00078352,0.00078352
14,271.852,1.39248,2.86968,0.83595,1.06651,0.78356,0.7775,0.77388,0.43113,0.71907,0.68785,0.67218,0.25324,1.81856,4.43123,1.83308,1.22268,0.000779396,0.000779396,0.000779396
15,294.737,1.3687,2.77992,0.79971,1.05478,0.66692,0.81212,0.71655,0.39449,0.64311,0.68111,0.60085,0.23743,1.77751,4.09004,1.59978,1.09796,0.000775273,0.000775273,0.000775273
16,319.88,1.39863,2.82202,0.79915,1.06461,0.81897,0.81585,0.80693,0.45328,0.77254,0.79713,0.73765,0.2889,1.72533,3.77728,1.16023,1.05412,0.00077115,0.00077115,0.00077115
17,345.014,1.34562,2.74818,0.78068,1.05198,0.75195,0.75014,0.72322,0.37269,0.71167,0.68166,0.64873,0.22364,2.08461,4.81984,1.59843,1.27716,0.000767026,0.000767026,0.000767026
18,364.839,1.36364,2.74915,0.78044,1.04463,0.8042,0.84243,0.81013,0.46899,0.75016,0.7781,0.72367,0.28464,1.66831,4.16087,1.11455,1.03437,0.000762903,0.000762903,0.000762903
19,382.485,1.39062,2.7649,0.77837,1.05724,0.72204,0.74221,0.68531,0.36931,0.67608,0.66417,0.60585,0.22941,1.78075,4.29173,1.28678,1.11057,0.00075878,0.00075878,0.00075878
20,400.109,1.32379,2.68913,0.77701,1.03952,0.77903,0.79006,0.8154,0.48438,0.71061,0.70903,0.70855,0.30752,1.59488,4.22309,1.11045,1.02016,0.000754656,0.000754656,0.000754656
21,421.746,1.28179,2.64673,0.73959,1.02587,0.78253,0.81537,0.80917,0.45534,0.7764,0.73502,0.74322,0.28703,1.66935,3.88384,1.06341,1.07503,0.000750533,0.000750533,0.000750533
22,439.466,1.28944,2.61476,0.71952,1.01504,0.7343,0.77458,0.77933,0.43085,0.67002,0.65411,0.64617,0.23422,1.7408,4.52523,1.22161,1.12394,0.00074641,0.00074641,0.00074641
23,457.248,1.25174,2.61018,0.71533,1.01186,0.86168,0.82224,0.83312,0.45962,0.78511,0.75955,0.73235,0.27951,1.75799,4.29814,1.11753,1.10312,0.000742286,0.000742286,0.000742286
24,475.023,1.26991,2.65769,0.71584,1.01413,0.86552,0.82799,0.838,0.46048,0.76179,0.72982,0.69868,0.28205,1.7722,4.25418,1.1225,1.09294,0.000738163,0.000738163,0.000738163
25,492.728,1.2712,2.6043,0.69189,1.02109,0.88237,0.81651,0.83565,0.47767,0.77299,0.7222,0.69156,0.27485,1.75926,4.46601,1.03824,1.07686,0.00073404,0.00073404,0.00073404
26,510.475,1.26724,2.62513,0.68959,1.01921,0.80314,0.82322,0.83092,0.50003,0.73592,0.75993,0.72128,0.31221,1.63623,3.84092,0.94219,1.02335,0.000729916,0.000729916,0.000729916
27,532.175,1.25343,2.65956,0.69091,1.02586,0.86407,0.74992,0.80529,0.46471,0.77241,0.7279,0.72775,0.28667,1.76982,4.23292,0.99433,1.08191,0.000725793,0.000725793,0.000725793
28,549.878,1.24633,2.53439,0.67979,1.00108,0.84946,0.78468,0.81212,0.47573,0.7712,0.74467,0.72262,0.27931,1.585,4.12824,1.00488,1.06951,0.00072167,0.00072167,0.00072167
29,567.537,1.23899,2.58251,0.6766,0.99939,0.84135,0.83792,0.83069,0.48602,0.77214,0.76286,0.72397,0.28279,1.64551,4.20298,0.97428,1.06621,0.000717546,0.000717546,0.000717546
30,585.418,1.24389,2.52191,0.68639,1.00001,0.84423,0.8416,0.83359,0.48865,0.77547,0.7842,0.75343,0.29614,1.56027,3.99072,0.90686,1.05638,0.000713423,0.000713423,0.000713423
31,603.065,1.25819,2.58081,0.67595,1.00311,0.7987,0.8215,0.79056,0.44963,0.75613,0.76801,0.7119,0.26038,1.60893,4.2448,1.03047,1.06388,0.000709299,0.000709299,0.000709299
32,620.722,1.22691,2.4794,0.6631,1.00194,0.78907,0.82968,0.82491,0.47661,0.72788,0.77625,0.74774,0.27211,1.65192,4.21771,0.96694,1.03641,0.000705176,0.000705176,0.000705176
33,638.352,1.25598,2.52581,0.67567,1.00159,0.82363,0.81895,0.79919,0.45635,0.78863,0.80659,0.76648,0.28148,1.64996,4.16943,0.93119,1.05488,0.000701053,0.000701053,0.000701053
34,656.014,1.21177,2.46447,0.65502,0.99225,0.82981,0.81452,0.80374,0.45261,0.77155,0.74532,0.7114,0.28425,1.66852,4.18385,0.95547,1.07375,0.000696929,0.000696929,0.000696929
35,673.986,1.22006,2.46554,0.65591,0.99628,0.81912,0.7972,0.79356,0.4637,0.75506,0.7393,0.72337,0.29394,1.65352,4.1521,0.96439,1.07731,0.000692806,0.000692806,0.000692806
