epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4858,1.91184,3.93737,3.14326,1.38808,0.68699,0.51009,0.43509,0.24793,0.66896,0.48023,0.40042,0.18178,1.88857,3.88881,3.87192,1.10171,6.664e-05,6.664e-05,6.664e-05
2,36.7723,1.46815,3.06484,1.11771,1.10506,0.78777,0.49493,0.56593,0.32944,0.67773,0.44409,0.4865,0.2087,1.93053,5.20248,2.16266,1.16103,0.000140675,0.000140675,0.000140675
3,56.1956,1.38911,2.88861,0.94251,1.1015,0.51828,0.75108,0.65442,0.36924,0.4976,0.7009,0.56235,0.23805,1.69237,4.37039,2.00771,1.08734,0.000213721,0.000213721,0.000213721
4,81.0211,1.36741,2.90705,0.87222,1.10195,0.25029,0.01042,8e-05,2e-05,1e-05,0.0026,0,0,5.40367,56.5752,inf,11.309,0.000285777,0.000285777,0.000285777
5,101.178,1.39803,2.88635,0.8923,1.09783,0,0,0,0,0,0,0,0,5.85713,197.366,inf,29.9305,0.000356844,0.000356844,0.000356844
6,119.717,1.38648,2.86262,0.84378,1.09303,0.00071,0.00052,0.00036,7e-05,0,0,0,0,4.94251,42.8153,6.65159,12.0632,0.000426921,0.000426921,0.000426921
7,138.162,1.38096,2.84258,0.81819,1.09774,0.69429,0.76147,0.69575,0.37383,0.65906,0.69103,0.62572,0.23762,1.96718,4.24687,2.52091,1.28719,0.000496008,0.000496008,0.000496008
8,160.116,1.41412,2.9274,0.85313,1.11683,0.71874,0.72678,0.73693,0.40494,0.69815,0.69937,0.68639,0.27226,1.88619,4.38402,1.67492,1.29338,0.000564106,0.000564106,0.000564106
9,182.061,1.42396,2.83629,0.85805,1.1196,0.55062,0.70014,0.63514,0.34236,0.50695,0.63726,0.58255,0.21547,2.10947,4.46676,1.65055,1.43902,0.000631214,0.000631214,0.000631214
10,200.482,1.4336,2.83222,0.879,1.12088,0.57619,0.61501,0.56176,0.30093,0.57826,0.56281,0.49888,0.20095,2.07753,4.23206,2.26217,1.36966,0.000697333,0.000697333,0.000697333
11,218.945,1.4216,2.79749,0.89683,1.11442,0.62977,0.6742,0.65877,0.34472,0.5993,0.63159,0.60081,0.22697,2.06141,4.18165,1.94363,1.43972,0.000762462,0.000762462,0.000762462
12,237.363,1.43011,2.86273,0.86537,1.11357,0.72497,0.63463,0.61995,0.34358,0.67725,0.52659,0.54019,0.1997,2.06479,4.41941,1.76471,1.45,0.000772524,0.000772524,0.000772524
13,255.708,1.37527,2.71491,0.8357,1.09835,0.66257,0.65872,0.60715,0.32028,0.66826,0.65402,0.62919,0.24006,2.28232,4.09659,1.68771,1.54296,0.000767026,0.000767026,0.000767026
14,274.022,1.36076,2.73637,0.81322,1.08816,0.70199,0.73881,0.71734,0.39171,0.66422,0.68556,0.63723,0.23934,1.97502,4.20379,1.63774,1.25808,0.000761529,0.000761529,0.000761529
15,292.35,1.38173,2.72129,0.8049,1.1039,0.78185,0.70105,0.75074,0.41567,0.73674,0.67692,0.68906,0.26458,1.85664,4.0816,1.60675,1.14643,0.000756031,0.000756031,0.000756031
16,314.241,1.34748,2.66344,0.77599,1.07861,0.66033,0.73544,0.71503,0.41579,0.5752,0.66348,0.60874,0.23852,1.80704,4.94515,1.48633,1.20998,0.000750533,0.000750533,0.000750533
17,332.696,1.30576,2.69573,0.75499,1.07103,0.63213,0.76906,0.73103,0.44214,0.61118,0.70328,0.67118,0.27729,1.79487,4.34409,1.91799,1.2049,0.000745035,0.000745035,0.000745035
18,354.473,1.30542,2.58591,0.73261,1.06369,0.65385,0.73806,0.75476,0.4299,0.59107,0.74117,0.71401,0.28077,1.78114,4.05909,1.34881,1.12488,0.000739537,0.000739537,0.000739537
19,372.829,1.29812,2.63002,0.74591,1.05779,0.56727,0.58365,0.56382,0.33152,0.53039,0.54828,0.51735,0.20064,2.19205,5.50018,1.72958,1.45502,0.00073404,0.00073404,0.00073404
20,391.242,1.32805,2.65364,0.7562,1.08313,0.77995,0.69603,0.71494,0.40055,0.72844,0.66559,0.66336,0.26675,1.82887,4.02957,1.32652,1.21994,0.000728542,0.000728542,0.000728542
21,409.612,1.28182,2.57567,0.74438,1.06617,0.69171,0.6374,0.70974,0.38582,0.51909,0.614,0.60286,0.24538,1.84038,4.18535,1.60434,1.27569,0.000723044,0.000723044,0.000723044
22,427.962,1.31511,2.66291,0.76403,1.07525,0.7969,0.78861,0.77353,0.449,0.75835,0.75525,0.71456,0.27435,1.64453,3.92272,1.25175,1.24606,0.000717546,0.000717546,0.000717546
23,449.79,1.26833,2.52843,0.72117,1.05394,0.79083,0.77566,0.78747,0.4621,0.71761,0.68856,0.65139,0.26079,1.65109,3.85799,0.9893,1.12876,0.000712048,0.000712048,0.000712048
24,466.448,1.30896,2.60536,0.74722,1.07393,0.78788,0.78409,0.81777,0.4677,0.72476,0.736,0.69973,0.2916,1.65092,4.18773,1.25007,1.17827,0.000706551,0.000706551,0.000706551
25,488.315,1.29658,2.59386,0.73195,1.06182,0.63903,0.70479,0.72785,0.36961,0.51973,0.64049,0.58879,0.22645,1.96267,4.59766,1.35874,1.27643,0.000701053,0.000701053,0.000701053
26,506.534,1.27589,2.50213,0.7108,1.04124,0.68666,0.68154,0.7612,0.45601,0.6296,0.62302,0.64343,0.27233,1.59936,3.98789,1.39602,1.10837,0.000695555,0.000695555,0.000695555
27,524.788,1.28589,2.52393,0.69971,1.04875,0.84068,0.73974,0.79204,0.46791,0.78987,0.69846,0.71055,0.29454,1.63501,4.10195,1.09803,1.12533,0.000690057,0.000690057,0.000690057
28,546.622,1.23504,2.57444,0.69593,1.04456,0.74805,0.75722,0.75996,0.42256,0.72133,0.71891,0.70994,0.28487,1.7536,3.89599,1.25661,1.1263,0.000684559,0.000684559,0.000684559
29,564.928,1.24162,2.50181,0.68645,1.05799,0.81656,0.80369,0.82333,0.47388,0.75835,0.75499,0.75026,0.31221,1.5996,3.69804,1.04246,1.0813,0.000679062,0.000679062,0.000679062
30,586.764,1.22111,2.41252,0.68207,1.03875,0.7551,0.76838,0.82195,0.48886,0.63097,0.71626,0.69182,0.28698,1.56673,3.98219,1.0665,1.08687,0.000673564,0.000673564,0.000673564
31,605.113,1.25651,2.54263,0.67153,1.05345,0.76497,0.78089,0.80596,0.46712,0.70983,0.73009,0.72627,0.31029,1.60593,3.87892,1.0681,1.11335,0.000668066,0.000668066,0.000668066
32,623.497,1.23531,2.47848,0.67731,1.05557,0.67922,0.78634,0.74078,0.44077,0.61802,0.71328,0.63735,0.27182,1.59964,4.15046,1.1331,1.063,0.000662568,0.000662568,0.000662568
33,641.848,1.23979,2.4621,0.67607,1.04274,0.88373,0.78653,0.83661,0.50461,0.805,0.70516,0.73548,0.31747,1.58071,3.85429,0.94076,1.04957,0.00065707,0.00065707,0.00065707
34,663.587,1.28692,2.52441,0.68624,1.0607,0.8066,0.77331,0.764,0.42272,0.73003,0.66882,0.63737,0.26021,1.85245,4.45406,1.12923,1.11767,0.000651573,0.000651573,0.000651573
35,681.892,1.22585,2.40664,0.66745,1.03677,0.73582,0.73412,0.71161,0.42837,0.64494,0.68546,0.60695,0.24636,1.57551,4.03689,1.09568,1.03056,0.000646075,0.000646075,0.000646075
36,700.29,1.2401,2.46039,0.66431,1.04169,0.82896,0.79696,0.79884,0.45219,0.75894,0.69559,0.6881,0.2802,1.74436,4.10139,1.07046,1.13623,0.000640577,0.000640577,0.000640577
37,718.631,1.19322,2.39898,0.66173,1.0269,0.7284,0.76145,0.78259,0.4822,0.68648,0.70189,0.70059,0.28808,1.62568,4.00844,1.19937,1.10992,0.000635079,0.000635079,0.000635079
38,736.91,1.18835,2.34371,0.65433,1.02636,0.62133,0.77953,0.76268,0.42242,0.57286,0.74099,0.69301,0.26596,1.80958,4.04338,1.36164,1.1879,0.000629581,0.000629581,0.000629581
39,755.222,1.22506,2.46411,0.66348,1.04822,0.76206,0.71359,0.79774,0.45892,0.65613,0.70224,0.68389,0.28281,1.68512,3.79304,1.22515,1.10488,0.000624084,0.000624084,0.000624084
40,773.617,1.2085,2.42379,0.67229,1.0266,0.69006,0.77585,0.77911,0.44409,0.6442,0.7108,0.70162,0.28733,1.65522,4.16341,1.15612,1.09965,0.000618586,0.000618586,0.000618586
41,792.028,1.21093,2.41597,0.67087,1.02954,0.74451,0.78379,0.77522,0.44452,0.68369,0.72066,0.69177,0.2769,1.63085,4.27023,1.19373,1.14669,0.000613088,0.000613088,0.000613088
42,810.371,1.20483,2.41035,0.63825,1.03661,0.82579,0.78942,0.79562,0.4585,0.79841,0.75172,0.73948,0.29343,1.64759,3.91681,1.10483,1.0976,0.00060759,0.00060759,0.00060759
43,828.675,1.1771,2.40223,0.62773,1.01657,0.78612,0.80673,0.81745,0.46639,0.73026,0.72723,0.71735,0.28774,1.66018,4.00625,1.08387,1.09468,0.000602092,0.000602092,0.000602092
44,847.064,1.18245,2.45028,0.6477,1.0303,0.77241,0.79984,0.80306,0.46091,0.73636,0.74453,0.71781,0.27634,1.65916,4.25972,1.0518,1.08768,0.000596595,0.000596595,0.000596595
45,865.452,1.15583,2.36178,0.62072,1.01652,0.75748,0.77547,0.7796,0.4598,0.71118,0.70011,0.67449,0.2761,1.59569,4.15561,1.07242,1.0595,0.000591097,0.000591097,0.000591097
46,883.776,1.18959,2.36992,0.63357,1.0186,0.68982,0.72142,0.71737,0.40729,0.65083,0.65846,0.63713,0.25415,1.74173,3.98741,1.28216,1.12886,0.000585599,0.000585599,0.000585599
47,902.092,1.18396,2.39277,0.62658,1.01762,0.8815,0.72867,0.81509,0.47963,0.80706,0.67758,0.72546,0.30867,1.57621,3.69821,0.95927,1.0379,0.000580101,0.000580101,0.000580101
