epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.37255,0,7.94156,0,0,0,0,0,0,8.25982,0,0,0,0
2,2.51576,0,7.91711,0,0,0,0,0,0,8.26553,0,1.63399e-05,1.63399e-05,1.63399e-05
3,4.04823,0,7.88696,0,0,0,0,0,0,8.26994,0,3.20197e-05,3.20197e-05,3.20197e-05
4,4.8902,0,7.89908,0,0,0,0,0,0,8.27486,0,4.70394e-05,4.70394e-05,4.70394e-05
5,5.72019,0,7.8612,0,0,0,0,0,0,8.28037,0,6.13989e-05,6.13989e-05,6.13989e-05
6,6.58536,0,7.83163,0,0,0,0,0,0,8.2872,0,7.50984e-05,7.50984e-05,7.50984e-05
7,7.60281,0,7.78897,0,0,0,0,0,0,8.29563,0,8.81376e-05,8.81376e-05,8.81376e-05
8,8.45132,0,7.74742,0,0,0,0,0,0,8.30382,0,0.000100517,0.000100517,0.000100517
9,9.20045,0,7.73779,0,0,0,0,0,0,8.30382,0,0.000112236,0.000112236,0.000112236
10,10.1466,0,7.71641,0,0,0,0,0,0,8.31542,0,0.000123295,0.000123295,0.000123295
11,10.8708,0,7.6842,0,0,0,0,0,0,8.31542,0,0.000133693,0.000133693,0.000133693
12,11.6706,0,7.69669,0,0,0,0,0,0,8.325,0,0.000143432,0.000143432,0.000143432
13,12.3824,0,7.65633,0,0,0,0,0,0,8.325,0,0.00015251,0.00015251,0.00015251
14,13.21,0,7.62883,0,0,0,0,0,0,8.33139,0,0.000160929,0.000160929,0.000160929
15,14.8288,0,7.60334,0,0,0,0,0,0,8.33139,0,0.000168687,0.000168687,0.000168687
16,15.6131,0,7.59397,0,0,0,0,0,0,8.33304,0,0.000175785,0.000175785,0.000175785
17,16.3788,0,7.54436,0,0,0,0,0,0,8.33304,0,0.000182223,0.000182223,0.000182223
18,17.1747,0,7.56852,0,0,0,0,0,0,8.33002,0,0.000188001,0.000188001,0.000188001
19,17.9136,0,7.49139,0,0,0,0,0,0,8.33002,0,0.000193119,0.000193119,0.000193119
20,18.9587,0,7.48307,0,0,0,0,0,0,8.32477,0,0.000197576,0.000197576,0.000197576
21,20.4722,0,7.4185,0,0,0,0,0,0,8.32477,0,0.000201374,0.000201374,0.000201374
22,21.1935,0,7.44754,0,0,0,0,0,0,8.32059,0,0.000204511,0.000204511,0.000204511
23,22.0312,0,7.35091,0,0,0,0,0,0,8.32059,0,0.000206988,0.000206988,0.000206988
24,23.0125,0,7.33686,0,0,0,0,0,0,8.32059,0,0.000208805,0.000208805,0.000208805
25,23.8602,0,7.38869,0,0,0,0,0,0,8.32366,0,0.000209962,0.000209962,0.000209962
26,24.7603,0,7.29919,0,0,0,0,0,0,8.32366,0,0.000210459,0.000210459,0.000210459
27,27.1668,0,7.26322,0,0,0,0,0,0,8.32366,0,0.000210295,0.000210295,0.000210295
28,28.0615,0,7.27343,0,0,0,0,0,0,8.34187,0,0.000209472,0.000209472,0.000209472
29,28.8708,0,7.16608,0,0,0,0,0,0,8.34187,0,0.000207988,0.000207988,0.000207988
30,29.745,0,7.19199,0,0,0,0,0,0,8.34187,0,0.000205844,0.000205844,0.000205844
31,30.7508,0,7.2172,0,0,0,0,0,0,8.37981,0,0.000203041,0.000203041,0.000203041
32,32.1689,0,7.1539,0,0,0,0,0,0,8.37981,0,0.000199577,0.000199577,0.000199577
33,33.0789,0,7.12642,0,0,0,0,0,0,8.37981,0,0.000195452,0.000195452,0.000195452
34,34.0273,0,7.101,0,0,0,0,0,0,8.43727,0,0.000190668,0.000190668,0.000190668
35,35.0372,0,7.04172,0,0,0,0,0,0,8.43727,0,0.000185224,0.000185224,0.000185224
36,36.3482,0,7.0395,0,0,0,0,0,0,8.43727,0,0.000179119,0.000179119,0.000179119
37,37.1395,0,7.07548,0,0,0,0,0,0,8.43727,0,0.000172354,0.000172354,0.000172354
38,38.0123,0,7.14044,0,0,0,0,0,0,8.51542,0,0.00016493,0.00016493,0.00016493
39,38.8031,0,6.96126,0,0,0,0,0,0,8.51542,0,0.000156845,0.000156845,0.000156845
40,39.6247,0,6.99616,0,0,0,0,0,0,8.51542,0,0.0001481,0.0001481,0.0001481
41,40.4994,0,6.94118,0,0,0,0,0,0,8.51542,0,0.000138694,0.000138694,0.000138694
42,41.5483,0,7.01963,0,0,0,0,0,0,8.57282,0,0.000128629,0.000128629,0.000128629
43,42.6162,0,6.89339,0,0,0,0,0,0,8.57282,0,0.000117904,0.000117904,0.000117904
44,43.9113,0,7.00036,0,0,0,0,0,0,8.57282,0,0.000106518,0.000106518,0.000106518
45,44.8161,0,6.95467,0,0,0,0,0,0,8.57282,0,9.44722e-05,9.44722e-05,9.44722e-05
46,45.7619,0,6.8888,0,0,0,0,0,0,8.57461,0,8.17663e-05,8.17663e-05,8.17663e-05
47,46.6242,0,6.85393,0,0,0,0,0,0,8.57461,0,6.84003e-05,6.84003e-05,6.84003e-05
48,47.4896,0,6.91521,0,0,0,0,0,0,8.57461,0,5.43742e-05,5.43742e-05,5.43742e-05
49,48.5179,0,6.87026,0,0,0,0,0,0,8.57461,0,3.96879e-05,3.96879e-05,3.96879e-05
50,49.52,0,6.88147,0,0,0,0,0,0,8.53327,0,2.43415e-05,2.43415e-05,2.43415e-05
